aggregate_scope,family,capacity,horizon,decision_points,resident_candidate_observations,finite_reuse_count,never_reused_count,t_gt_h_count_including_never,t_gt_h_count_eventually_reused,t_le_h_count,never_reused_fraction,p_t_gt_h_including_never,p_t_gt_h_eventually_reused,p_t_le_h_including_never
family_capacity,citibike,128,1,14217,1819776,1611143,208633,1814398,1605765,5378,0.114647626961,0.997044691215,0.996661997104,0.00295530878526
family_capacity,citibike,128,2,14217,1819776,1611143,208633,1809832,1601199,9944,0.114647626961,0.994535591194,0.993827984232,0.00546440880636
family_capacity,citibike,128,4,14217,1819776,1611143,208633,1802228,1593595,17548,0.114647626961,0.990357054934,0.989108353511,0.00964294506577
family_capacity,citibike,128,8,14217,1819776,1611143,208633,1790583,1581950,29193,0.114647626961,0.9839579157,0.981880565536,0.0160420843005
family_capacity,citibike,128,16,14217,1819776,1611143,208633,1773988,1565355,45788,0.114647626961,0.974838661462,0.971580424581,0.0251613385384
family_capacity,cloudphysics,32,1,39442,1262144,207318,1054826,1261613,206787,531,0.835741405101,0.999579287308,0.997438717333,0.000420712692054
family_capacity,cloudphysics,32,2,39442,1262144,207318,1054826,1261077,206251,1067,0.835741405101,0.999154613103,0.994853317126,0.000845386897216
family_capacity,cloudphysics,32,4,39442,1262144,207318,1054826,1259957,205131,2187,0.835741405101,0.998267234167,0.989450988337,0.00173276583338
family_capacity,cloudphysics,32,8,39442,1262144,207318,1054826,1257640,202814,4504,0.835741405101,0.996431468992,0.978274920653,0.00356853100756
family_capacity,cloudphysics,32,16,39442,1262144,207318,1054826,1252982,198156,9162,0.835741405101,0.992740923381,0.955807021098,0.00725907661883
family_capacity,cloudphysics,64,1,38880,2488320,390294,2098026,2487329,389303,991,0.843149594907,0.999601739326,0.997460888458,0.000398260673868
family_capacity,cloudphysics,64,2,38880,2488320,390294,2098026,2486333,388307,1987,0.843149594907,0.999201469264,0.994908966061,0.000798530735597
family_capacity,cloudphysics,64,4,38880,2488320,390294,2098026,2484358,386332,3962,0.843149594907,0.99840776106,0.989848678176,0.00159223894033
family_capacity,cloudphysics,64,8,38880,2488320,390294,2098026,2480367,382341,7953,0.843149594907,0.99680386767,0.979623053391,0.00319613233025
family_capacity,cloudphysics,64,16,38880,2488320,390294,2098026,2472473,374447,15847,0.843149594907,0.993631446116,0.959397274875,0.00636855388374
family_capacity,cloudphysics,128,1,38237,4894336,719393,4174943,4892868,717925,1468,0.85301519961,0.999700061459,0.997959390764,0.000299938541204
family_capacity,cloudphysics,128,2,38237,4894336,719393,4174943,4891414,716471,2922,0.85301519961,0.999402983367,0.995938242379,0.000597016633104
family_capacity,cloudphysics,128,4,38237,4894336,719393,4174943,4888499,713556,5837,0.85301519961,0.998807396958,0.991886215184,0.00119260304156
family_capacity,cloudphysics,128,8,38237,4894336,719393,4174943,4882700,707757,11636,0.85301519961,0.997622557994,0.983825252678,0.00237744200643
family_capacity,cloudphysics,128,16,38237,4894336,719393,4174943,4871203,696260,23133,0.85301519961,0.995273516162,0.967843723806,0.00472648383764
family_capacity,metacdn,32,1,23207,742624,181255,561369,734597,173228,8027,0.755926283018,0.989191030723,0.955714325122,0.0108089692765
family_capacity,metacdn,32,2,23207,742624,181255,561369,728222,166853,14402,0.755926283018,0.980606605766,0.920542881576,0.0193933942345
family_capacity,metacdn,32,4,23207,742624,181255,561369,718921,157552,23703,0.755926283018,0.968082098074,0.869228435078,0.0319179019261
family_capacity,metacdn,32,8,23207,742624,181255,561369,707989,146620,34635,0.755926283018,0.953361324169,0.808915616121,0.0466386758306
family_capacity,metacdn,32,16,23207,742624,181255,561369,697774,136405,44850,0.755926283018,0.93960604559,0.752558550109,0.0603939544103
family_capacity,metacdn,64,1,22586,1445504,301978,1143526,1437343,293817,8161,0.791091550075,0.994354218321,0.972974852473,0.00564578167892
family_capacity,metacdn,64,2,22586,1445504,301978,1143526,1430779,287253,14725,0.791091550075,0.98981324161,0.951238169668,0.0101867583902
family_capacity,metacdn,64,4,22586,1445504,301978,1143526,1421050,277524,24454,0.791091550075,0.98308271717,0.919020590904,0.0169172828301
family_capacity,metacdn,64,8,22586,1445504,301978,1143526,1409142,265616,36362,0.791091550075,0.974844760028,0.879587254701,0.0251552399717
family_capacity,metacdn,64,16,22586,1445504,301978,1143526,1397034,253508,48470,0.791091550075,0.966468442841,0.839491618595,0.0335315571593
family_capacity,metacdn,128,1,21952,2809856,506230,2303626,2801559,497933,8297,0.819837742575,0.997047179642,0.9836102167,0.00295282035805
family_capacity,metacdn,128,2,21952,2809856,506230,2303626,2794856,491230,15000,0.819837742575,0.994661648141,0.970369199771,0.0053383518586
family_capacity,metacdn,128,4,21952,2809856,506230,2303626,2784682,481056,25174,0.819837742575,0.991040822021,0.950271615669,0.00895917797923
family_capacity,metacdn,128,8,21952,2809856,506230,2303626,2771739,468113,38117,0.819837742575,0.986434536147,0.924704185844,0.013565463853
family_capacity,metacdn,128,16,21952,2809856,506230,2303626,2757392,453766,52464,0.819837742575,0.981328580539,0.896363313119,0.0186714194606
family_capacity,metakv,32,1,30569,978208,326875,651333,976565,325232,1643,0.665843051784,0.998320398116,0.994973613767,0.00167960188426
family_capacity,metakv,32,2,30569,978208,326875,651333,975534,324201,2674,0.665843051784,0.997266430044,0.991819502868,0.00273356995649
family_capacity,metakv,32,4,30569,978208,326875,651333,974583,323250,3625,0.665843051784,0.996294244169,0.988910133843,0.00370575583107
family_capacity,metakv,32,8,30569,978208,326875,651333,974150,322817,4058,0.665843051784,0.995851598024,0.987585468451,0.00414840197586
family_capacity,metakv,32,16,30569,978208,326875,651333,973980,322647,4228,0.665843051784,0.995677810854,0.987065391969,0.00432218914587
family_capacity,metakv,64,1,30552,1955328,650833,1304495,1953673,649178,1655,0.667148938695,0.999153594691,0.997457104972,0.000846405308981
family_capacity,metakv,64,2,30552,1955328,650833,1304495,1952633,648138,2695,0.667148938695,0.998621714618,0.995859152809,0.0013782853823
family_capacity,metakv,64,4,30552,1955328,650833,1304495,1951651,647156,3677,0.667148938695,0.998119497087,0.994350317209,0.00188050291307
family_capacity,metakv,64,8,30552,1955328,650833,1304495,1951159,646664,4169,0.667148938695,0.997867876898,0.993594362916,0.0021321231016
family_capacity,metakv,64,16,30552,1955328,650833,1304495,1950867,646372,4461,0.667148938695,0.997718541339,0.993145707117,0.00228145866064
family_capacity,metakv,128,1,30539,3908992,1299106,2609886,3907329,1297443,1663,0.667662149219,0.999574570631,0.998719888908,0.000425429369004
family_capacity,metakv,128,2,30539,3908992,1299106,2609886,3906280,1296394,2712,0.667662149219,0.999306215004,0.997912410535,0.000693784996234
family_capacity,metakv,128,4,30539,3908992,1299106,2609886,3905283,1295397,3709,0.667662149219,0.999051162039,0.997144959688,0.000948837961295
family_capacity,metakv,128,8,30539,3908992,1299106,2609886,3904763,1294877,4229,0.667662149219,0.998918135417,0.996744684421,0.00108186458299
family_capacity,metakv,128,16,30539,3908992,1299106,2609886,3904437,1294551,4555,0.667662149219,0.998834737958,0.99649374262,0.00116526204198
family_capacity,twemcache,32,1,30022,960704,669897,290807,955293,664486,5411,0.302701976884,0.994367672041,0.991922638853,0.0056323279595
family_capacity,twemcache,32,2,30022,960704,669897,290807,950080,659273,10624,0.302701976884,0.988941442942,0.984140845533,0.0110585570582
family_capacity,twemcache,32,4,30022,960704,669897,290807,940656,649849,20048,0.302701976884,0.979131969889,0.970073011224,0.0208680301113
family_capacity,twemcache,32,8,30022,960704,669897,290807,924098,633291,36606,0.302701976884,0.961896692426,0.945355778575,0.0381033075744
family_capacity,twemcache,32,16,30022,960704,669897,290807,897166,606359,63538,0.302701976884,0.933863083739,0.905152583158,0.0661369162614
family_capacity,twemcache,64,1,27650,1769600,1198394,571206,1763347,1192141,6253,0.322788200723,0.996466433092,0.994782183489,0.00353356690778
family_capacity,twemcache,64,2,27650,1769600,1198394,571206,1757097,1185891,12503,0.322788200723,0.992934561483,0.989566870328,0.00706543851718
family_capacity,twemcache,64,4,27650,1769600,1198394,571206,1745699,1174493,23901,0.322788200723,0.986493557866,0.980055808023,0.0135064421338
family_capacity,twemcache,64,8,27650,1769600,1198394,571206,1725098,1153892,44502,0.322788200723,0.974851943942,0.962865301395,0.0251480560579
family_capacity,twemcache,64,16,27650,1769600,1198394,571206,1690192,1118986,79408,0.322788200723,0.955126582278,0.933737986005,0.0448734177215
family_capacity,twemcache,128,1,24913,3188864,2072882,1115982,3182154,2066172,6710,0.349962243608,0.997895802392,0.99676296094,0.00210419760767
family_capacity,twemcache,128,2,24913,3188864,2072882,1115982,3175344,2059362,13520,0.349962243608,0.995760245655,0.993477679868,0.00423975434512
family_capacity,twemcache,128,4,24913,3188864,2072882,1115982,3162579,2046597,26285,0.349962243608,0.99175725274,0.987319586933,0.00824274726047
family_capacity,twemcache,128,8,24913,3188864,2072882,1115982,3139105,2023123,49759,0.349962243608,0.984396010617,0.975995256845,0.0156039893831
family_capacity,twemcache,128,16,24913,3188864,2072882,1115982,3097762,1981780,91102,0.349962243608,0.971431205595,0.956050561489,0.0285687944045
family_capacity,wiki2018,32,1,40000,1280000,0,1280000,1280000,0,0,1,1,,0
family_capacity,wiki2018,32,2,40000,1280000,0,1280000,1280000,0,0,1,1,,0
family_capacity,wiki2018,32,4,40000,1280000,0,1280000,1280000,0,0,1,1,,0
family_capacity,wiki2018,32,8,40000,1280000,0,1280000,1280000,0,0,1,1,,0
family_capacity,wiki2018,32,16,40000,1280000,0,1280000,1280000,0,0,1,1,,0
family_capacity,wiki2018,64,1,40000,2560000,0,2560000,2560000,0,0,1,1,,0
family_capacity,wiki2018,64,2,40000,2560000,0,2560000,2560000,0,0,1,1,,0
family_capacity,wiki2018,64,4,40000,2560000,0,2560000,2560000,0,0,1,1,,0
family_capacity,wiki2018,64,8,40000,2560000,0,2560000,2560000,0,0,1,1,,0
family_capacity,wiki2018,64,16,40000,2560000,0,2560000,2560000,0,0,1,1,,0
family_capacity,wiki2018,128,1,40000,5120000,0,5120000,5120000,0,0,1,1,,0
family_capacity,wiki2018,128,2,40000,5120000,0,5120000,5120000,0,0,1,1,,0
family_capacity,wiki2018,128,4,40000,5120000,0,5120000,5120000,0,0,1,1,,0
family_capacity,wiki2018,128,8,40000,5120000,0,5120000,5120000,0,0,1,1,,0
family_capacity,wiki2018,128,16,40000,5120000,0,5120000,5120000,0,0,1,1,,0
