family,capacity,tie_policy,seed,misses,miss_ratio,delta_vs_LRU,delta_vs_current_exact,trace_sha256,fraction_tied_decisions,fraction_all_tied,mean_optimal_set_fraction
brightkite,128,RANDOM_WITHIN_MINIMA,3,13162,0.32905,765,-5809,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.35860811426834827,0.9922195524996201
brightkite,128,RANDOM_WITHIN_MINIMA,4,13141,0.328525,744,-5830,04c8cebb51742e7f192b6654e0e3029690a74b8ff494db771f0e132dc68d01de,1.0,0.3587246023894681,0.9922142531009817
citibike,32,LRU_REFERENCE,,16603,0.415075,0,-8169,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,,,
citibike,32,CURRENT_DETERMINISTIC,,24772,0.6193,8169,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.5293072824156305,0.9814331705150977
citibike,32,LRU_WITHIN_MINIMA,,16583,0.414575,-20,-8189,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.44382801664355065,0.9699748989929445
citibike,32,MRU_WITHIN_MINIMA,,24833,0.620825,8230,61,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.5257922925139935,0.9815404401401361
citibike,32,RANDOM_WITHIN_MINIMA,0,17363,0.434075,760,-7409,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.4213557564936935,0.9692467459540401
citibike,32,RANDOM_WITHIN_MINIMA,1,17302,0.43255,699,-7470,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.42272569645127733,0.9692864264246908
citibike,32,RANDOM_WITHIN_MINIMA,2,17276,0.4319,673,-7496,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.4205834683954619,0.9692130701551285
citibike,32,RANDOM_WITHIN_MINIMA,3,17332,0.4333,729,-7440,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.41980152319409186,0.969006029309947
citibike,32,RANDOM_WITHIN_MINIMA,4,17390,0.43475,787,-7382,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.42294422081656124,0.9693142610695802
citibike,64,LRU_REFERENCE,,15709,0.392725,0,-8969,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,,,
citibike,64,CURRENT_DETERMINISTIC,,24678,0.61695,8969,0,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.525083069940838,0.9905849846016695
citibike,64,LRU_WITHIN_MINIMA,,15691,0.392275,-18,-8987,1ddab59d9dd9cd32ced3bf7409a2e2432cc6453cd06a6837670babb7f5d77130,1.0,0.39270919635459817,0.9833314081320502
