family,capacity,status,all_event_count,h4_multiple_event_count,h4_tied_set_long_resolution_denominator,h4_tied_set_long_unique_resolution_count,h4_tied_set_long_unique_resolution_fraction,h4_unique_event_count,h4_unique_strict_reversal_fraction,h4_unique_winner_agreement_fraction,h4_unique_winner_disagreement_fraction,horizon,long_optimal_set_intersects_h4_set_fraction,long_optimal_set_size_summary,long_reduces_h4_optimal_set_fraction,long_unique_winner_fraction_given_h4_multiple,long_unique_winner_in_h4_set_fraction,long_values_on_h4_tie_set_spread_summary,mean_h4_minus_long_optimal_set_size,optimal_set_jaccard_mean
citibike,32,ok,24772,24772,24772,0,0.0,0,,,,16,1.0,"{'max': 32.0, 'mean': 30.970127563378007, 'median': 31.0, 'min': 21.0, 'p90': 32.0}",0.33586307120943,0.0,0.0,"{'max': 2.0, 'mean': 0.33590343936702727, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.4357338931051187,0.9861029390974864
citibike,32,ok,24772,24772,24772,0,0.0,0,,,,32,1.0,"{'max': 32.0, 'mean': 30.785281769740028, 'median': 31.0, 'min': 7.0, 'p90': 32.0}",0.4166801227191991,0.0,0.0,"{'max': 2.0, 'mean': 0.4170030679799774, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.620579686743097,0.9802179658612469
citibike,64,ok,24678,24678,24678,0,0.0,0,,,,8,1.0,"{'max': 64.0, 'mean': 63.17849906799579, 'median': 63.0, 'min': 59.0, 'p90': 64.0}",0.19807115649566415,0.0,0.0,"{'max': 1.0, 'mean': 0.19807115649566415, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.2189399465110625,0.9965435210234259
citibike,64,ok,24678,24678,24678,0,0.0,0,,,,16,1.0,"{'max': 64.0, 'mean': 62.94010859875193, 'median': 63.0, 'min': 54.0, 'p90': 64.0}",0.3507172380257719,0.0,0.0,"{'max': 2.0, 'mean': 0.3508388037928519, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.4573304157549234,0.9927808641279268
citibike,64,ok,24678,24678,24678,0,0.0,0,,,,32,1.0,"{'max': 64.0, 'mean': 62.724369884107304, 'median': 63.0, 'min': 41.0, 'p90': 64.0}",0.44663262825188427,0.0,0.0,"{'max': 2.0, 'mean': 0.4471188913202042, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.6730691303995462,0.9893783297500226
citibike,128,ok,24461,24461,24461,0,0.0,0,,,,8,1.0,"{'max': 128.0, 'mean': 127.13568537672212, 'median': 127.0, 'min': 121.0, 'p90': 128.0}",0.21544499407219656,0.0,0.0,"{'max': 1.0, 'mean': 0.21544499407219656, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.2399329544989984,0.9981156097024338
citibike,128,ok,24461,24461,24461,0,0.0,0,,,,16,1.0,"{'max': 128.0, 'mean': 126.8594088549119, 'median': 127.0, 'min': 118.0, 'p90': 128.0}",0.3898450594824414,0.0,0.0,"{'max': 2.0, 'mean': 0.3900085850946404, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.516209476309227,0.9959460810121272
citibike,128,ok,24461,24461,24461,0,0.0,0,,,,32,1.0,"{'max': 128.0, 'mean': 126.57082703078369, 'median': 127.0, 'min': 103.0, 'p90': 128.0}",0.5180082580434161,0.0,0.0,"{'max': 2.0, 'mean': 0.518662360492212, 'median': 1.0, 'min': 0.0, 'p90': 1.0}",0.804791300437431,0.9936810865462921
cloudphysics,32,ok,39955,39955,39955,0,0.0,0,,,,8,1.0,"{'max': 32.0, 'mean': 31.995019396821423, 'median': 32.0, 'min': 26.0, 'p90': 32.0}",0.0018771117507195595,0.0,0.0,"{'max': 1.0, 'mean': 0.0018771117507195595, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0020022525341008633,0.9999374043783127
cloudphysics,32,ok,39955,39955,39955,0,0.0,0,,,,16,1.0,"{'max': 32.0, 'mean': 31.98953823050932, 'median': 32.0, 'min': 18.0, 'p90': 32.0}",0.006932799399324239,0.0,0.0,"{'max': 1.0, 'mean': 0.006932799399324239, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.007483418846201977,0.9997660422410697
cloudphysics,32,ok,39955,39955,39955,1,2.5028156676260793e-05,0,,,,32,1.0,"{'max': 32.0, 'mean': 31.980027530972343, 'median': 32.0, 'min': 1.0, 'p90': 32.0}",0.01486672506569891,2.5028156676260793e-05,2.5028156676260793e-05,"{'max': 1.0, 'mean': 0.01486672506569891, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.01699411838318108,0.9994688076505425
cloudphysics,64,ok,39947,39947,39947,0,0.0,0,,,,8,1.0,"{'max': 64.0, 'mean': 63.993491376073294, 'median': 64.0, 'min': 59.0, 'p90': 64.0}",0.0026284827396300097,0.0,0.0,"{'max': 1.0, 'mean': 0.0026284827396300097, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0027286154154254386,0.9999573467582642
cloudphysics,64,ok,39947,39947,39947,0,0.0,0,,,,16,1.0,"{'max': 64.0, 'mean': 63.98643202242972, 'median': 64.0, 'min': 49.0, 'p90': 64.0}",0.00923723934212832,0.0,0.0,"{'max': 1.0, 'mean': 0.00923723934212832, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.00978796905900318,0.9998470133144671
cloudphysics,64,ok,39947,39947,39947,0,0.0,0,,,,32,1.0,"{'max': 64.0, 'mean': 63.974716499361655, 'median': 64.0, 'min': 40.0, 'p90': 64.0}",0.02020176734172779,0.0,0.0,"{'max': 1.0, 'mean': 0.02020176734172779, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.021503492127068365,0.9996639396406588
cloudphysics,128,ok,39937,39937,39937,0,0.0,0,,,,8,1.0,"{'max': 128.0, 'mean': 127.99168690687833, 'median': 128.0, 'min': 125.0, 'p90': 128.0}",0.003480481758770063,0.0,0.0,"{'max': 1.0, 'mean': 0.003480481758770063, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.003605678944337331,0.9999718136652812
cloudphysics,128,ok,39937,39937,39937,0,0.0,0,,,,16,1.0,"{'max': 128.0, 'mean': 127.98294814332574, 'median': 128.0, 'min': 125.0, 'p90': 128.0}",0.011693417131982874,0.0,0.0,"{'max': 1.0, 'mean': 0.011693417131982874, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.01234444249693267,0.999903534373428
cloudphysics,128,ok,39937,39937,39937,0,0.0,0,,,,32,1.0,"{'max': 128.0, 'mean': 127.96707314019581, 'median': 128.0, 'min': 109.0, 'p90': 128.0}",0.026116132909332197,0.0,0.0,"{'max': 1.0, 'mean': 0.026116132909332197, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.028219445626862308,0.9997795047501966
metacdn,32,ok,26446,26446,26446,0,0.0,0,,,,8,1.0,"{'max': 32.0, 'mean': 31.177796264085305, 'median': 31.0, 'min': 24.0, 'p90': 32.0}",0.19965212130378884,0.0,0.0,"{'max': 1.0, 'mean': 0.19965212130378884, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.22022233986236103,0.9930000951516567
metacdn,32,ok,26446,26446,26446,0,0.0,0,,,,16,1.0,"{'max': 32.0, 'mean': 30.925017015805793, 'median': 31.0, 'min': 17.0, 'p90': 32.0}",0.3616425924525448,0.0,0.0,"{'max': 2.0, 'mean': 0.36296604401421767, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.473001588141874,0.9849589392150295
metacdn,32,ok,26446,26446,26446,0,0.0,0,,,,32,1.0,"{'max': 32.0, 'mean': 30.60443923466687, 'median': 31.0, 'min': 5.0, 'p90': 32.0}",0.47735007184451334,0.0,0.0,"{'max': 2.0, 'mean': 0.4827195038947289, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.7935793692807986,0.9747574429486444
metacdn,64,ok,26029,26029,26029,0,0.0,0,,,,8,1.0,"{'max': 64.0, 'mean': 63.097660301970876, 'median': 63.0, 'min': 56.0, 'p90': 64.0}",0.2329709170540551,0.0,0.0,"{'max': 2.0, 'mean': 0.23304775442775366, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.25825041300088364,0.9959272096936146
metacdn,64,ok,26029,26029,26029,0,0.0,0,,,,16,1.0,"{'max': 64.0, 'mean': 62.79138653040839, 'median': 63.0, 'min': 50.0, 'p90': 64.0}",0.4292135694801952,0.0,0.0,"{'max': 2.0, 'mean': 0.429597756348688, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.5645241845633716,0.991095086277363
metacdn,64,ok,26029,26029,26029,0,0.0,0,,,,32,1.0,"{'max': 64.0, 'mean': 62.417995312920205, 'median': 63.0, 'min': 37.0, 'p90': 64.0}",0.5881900956625302,0.0,0.0,"{'max': 2.0, 'mean': 0.5902647047523916, 'median': 1.0, 'min': 0.0, 'p90': 1.0}",0.9379154020515579,0.9851990586761915
metacdn,128,ok,25624,25624,25624,0,0.0,0,,,,8,1.0,"{'max': 128.0, 'mean': 127.01721042772401, 'median': 127.0, 'min': 123.0, 'p90': 128.0}",0.2640103028410865,0.0,0.0,"{'max': 1.0, 'mean': 0.2640103028410865, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.29538713705900715,0.9976805759362696
metacdn,128,ok,25624,25624,25624,0,0.0,0,,,,16,1.0,"{'max': 128.0, 'mean': 126.65173275054636, 'median': 127.0, 'min': 117.0, 'p90': 128.0}",0.4852872307211989,0.0,0.0,"{'max': 1.0, 'mean': 0.4852872307211989, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.6608648142366531,0.9948104529312236
metacdn,128,ok,25624,25624,25624,0,0.0,0,,,,32,1.0,"{'max': 128.0, 'mean': 126.18986106774898, 'median': 126.0, 'min': 113.0, 'p90': 128.0}",0.6660942866063065,0.0,0.0,"{'max': 1.0, 'mean': 0.6660942866063065, 'median': 1.0, 'min': 0.0, 'p90': 1.0}",1.1227364970340306,0.9911825850813105
metakv,32,ok,30692,30692,30692,0,0.0,0,,,,8,1.0,"{'max': 32.0, 'mean': 31.87703636126678, 'median': 32.0, 'min': 24.0, 'p90': 32.0}",0.013130457448194969,0.0,0.0,"{'max': 2.0, 'mean': 0.013195621008731917, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.014173074416786132,0.9995541721869653
metakv,32,ok,30692,30692,30692,0,0.0,0,,,,16,1.0,"{'max': 32.0, 'mean': 31.865144011468786, 'median': 32.0, 'min': 20.0, 'p90': 32.0}",0.020950084712628696,0.0,0.0,"{'max': 2.0, 'mean': 0.02111299361397107, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.026065424214779094,0.999179503157207
metakv,32,ok,30692,30692,30692,0,0.0,0,,,,32,1.0,"{'max': 32.0, 'mean': 31.837384334680046, 'median': 32.0, 'min': 6.0, 'p90': 32.0}",0.030366219210217645,0.0,0.0,"{'max': 2.0, 'mean': 0.030757200573439333, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.05382510100351883,0.9983068128726033
metakv,64,ok,30654,30654,30654,0,0.0,0,,,,8,1.0,"{'max': 64.0, 'mean': 63.869478697722975, 'median': 64.0, 'min': 58.0, 'p90': 64.0}",0.01686566190382984,0.0,0.0,"{'max': 1.0, 'mean': 0.01686566190382984, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.01804006002479285,0.9997170918177548
metakv,64,ok,30654,30654,30654,0,0.0,0,,,,16,1.0,"{'max': 64.0, 'mean': 63.85094930514778, 'median': 64.0, 'min': 51.0, 'p90': 64.0}",0.03069746199517192,0.0,0.0,"{'max': 2.0, 'mean': 0.03073008416519867, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.03656945259998695,0.9994263259000656
metakv,64,ok,30654,30654,30654,0,0.0,0,,,,32,1.0,"{'max': 64.0, 'mean': 63.8145103412279, 'median': 64.0, 'min': 38.0, 'p90': 64.0}",0.05535982253539506,0.0,0.0,"{'max': 2.0, 'mean': 0.055490311215502054, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0730084165198669,0.9988552881011699
metakv,128,ok,30598,30598,30598,0,0.0,0,,,,8,1.0,"{'max': 128.0, 'mean': 127.85936989345709, 'median': 128.0, 'min': 124.0, 'p90': 128.0}",0.022027583502189686,0.0,0.0,"{'max': 1.0, 'mean': 0.022027583502189686, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.022877312242630236,0.9998209265083334
metakv,128,ok,30598,30598,30598,0,0.0,0,,,,16,1.0,"{'max': 128.0, 'mean': 127.83077325315381, 'median': 128.0, 'min': 124.0, 'p90': 128.0}",0.04438198575070266,0.0,0.0,"{'max': 1.0, 'mean': 0.04438198575070266, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.051473952545918036,0.9995970821476008
metakv,128,ok,30598,30598,30598,0,0.0,0,,,,32,1.0,"{'max': 128.0, 'mean': 127.76988692071377, 'median': 128.0, 'min': 103.0, 'p90': 128.0}",0.08412314530361462,0.0,0.0,"{'max': 2.0, 'mean': 0.08425387280214393, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.11236028498594679,0.9991205657102015
twemcache,32,ok,35389,35389,35389,0,0.0,0,,,,8,1.0,"{'max': 32.0, 'mean': 31.76201644578824, 'median': 32.0, 'min': 28.0, 'p90': 32.0}",0.07036084659074854,0.0,0.0,"{'max': 1.0, 'mean': 0.07036084659074854, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.07267795077566476,0.9977177788523705
twemcache,32,ok,35389,35389,35389,0,0.0,0,,,,16,1.0,"{'max': 32.0, 'mean': 31.647348046002996, 'median': 32.0, 'min': 17.0, 'p90': 32.0}",0.16697278815451128,0.0,0.0,"{'max': 2.0, 'mean': 0.16708581762694621, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.18734635056090876,0.994119303671609
twemcache,32,ok,35389,35389,35389,9,0.00025431631297860916,0,,,,32,1.0,"{'max': 32.0, 'mean': 31.48184464099014, 'median': 32.0, 'min': 1.0, 'p90': 32.0}",0.2783915906072508,0.00025431631297860916,0.00025431631297860916,"{'max': 3.0, 'mean': 0.27870242165644693, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.35284975557376586,0.9889280050744519
twemcache,64,ok,35330,35330,35330,0,0.0,0,,,,8,1.0,"{'max': 64.0, 'mean': 63.74944806113784, 'median': 64.0, 'min': 58.0, 'p90': 64.0}",0.07591282196433626,0.0,0.0,"{'max': 1.0, 'mean': 0.07591282196433626, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0789131050099066,0.998763911787611
twemcache,64,ok,35330,35330,35330,0,0.0,0,,,,16,1.0,"{'max': 64.0, 'mean': 63.62451174639117, 'median': 64.0, 'min': 48.0, 'p90': 64.0}",0.18010189640532126,0.0,0.0,"{'max': 2.0, 'mean': 0.1801585055193886, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.2038494197565808,0.9968071713283732
twemcache,64,ok,35330,35330,35330,0,0.0,0,,,,32,1.0,"{'max': 64.0, 'mean': 63.447778092272856, 'median': 64.0, 'min': 34.0, 'p90': 64.0}",0.3050382111519955,0.0,0.0,"{'max': 2.0, 'mean': 0.3052929521652986, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.3805830738748939,0.9940394905232453
twemcache,128,ok,35161,35161,35161,0,0.0,0,,,,8,1.0,"{'max': 128.0, 'mean': 127.71704445266062, 'median': 128.0, 'min': 120.0, 'p90': 128.0}",0.08973009868888826,0.0,0.0,"{'max': 1.0, 'mean': 0.08973009868888826, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.09538977844771196,0.9992535278389799
twemcache,128,ok,35161,35161,35161,0,0.0,0,,,,16,1.0,"{'max': 128.0, 'mean': 127.56360740593271, 'median': 128.0, 'min': 112.0, 'p90': 128.0}",0.20972099769631125,0.0,0.0,"{'max': 2.0, 'mean': 0.20977787889991753, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.24882682517562071,0.9980530274467289
twemcache,128,ok,35161,35161,35161,0,0.0,0,,,,32,1.0,"{'max': 128.0, 'mean': 127.330252268138, 'median': 128.0, 'min': 101.0, 'p90': 128.0}",0.3549671511049174,0.0,0.0,"{'max': 3.0, 'mean': 0.35533687892835814, 'median': 0.0, 'min': 0.0, 'p90': 1.0}",0.48218196297033644,0.9962273169317402
wiki2018,32,ok,40000,40000,40000,0,0.0,0,,,,8,1.0,"{'max': 32.0, 'mean': 32.0, 'median': 32.0, 'min': 32.0, 'p90': 32.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,32,ok,40000,40000,40000,0,0.0,0,,,,16,1.0,"{'max': 32.0, 'mean': 32.0, 'median': 32.0, 'min': 32.0, 'p90': 32.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,32,ok,40000,40000,40000,0,0.0,0,,,,32,1.0,"{'max': 32.0, 'mean': 32.0, 'median': 32.0, 'min': 32.0, 'p90': 32.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,64,ok,40000,40000,40000,0,0.0,0,,,,8,1.0,"{'max': 64.0, 'mean': 64.0, 'median': 64.0, 'min': 64.0, 'p90': 64.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,64,ok,40000,40000,40000,0,0.0,0,,,,16,1.0,"{'max': 64.0, 'mean': 64.0, 'median': 64.0, 'min': 64.0, 'p90': 64.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,64,ok,40000,40000,40000,0,0.0,0,,,,32,1.0,"{'max': 64.0, 'mean': 64.0, 'median': 64.0, 'min': 64.0, 'p90': 64.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,128,ok,40000,40000,40000,0,0.0,0,,,,8,1.0,"{'max': 128.0, 'mean': 128.0, 'median': 128.0, 'min': 128.0, 'p90': 128.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,128,ok,40000,40000,40000,0,0.0,0,,,,16,1.0,"{'max': 128.0, 'mean': 128.0, 'median': 128.0, 'min': 128.0, 'p90': 128.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
wiki2018,128,ok,40000,40000,40000,0,0.0,0,,,,32,1.0,"{'max': 128.0, 'mean': 128.0, 'median': 128.0, 'min': 128.0, 'p90': 128.0}",0.0,0.0,0.0,"{'max': 0.0, 'mean': 0.0, 'median': 0.0, 'min': 0.0, 'p90': 0.0}",0.0,1.0
