capacity,hit_rate,misses,policy,trace,trust_coverage
4,0.3,7,blind_oracle,data/example_atlas_v1.json,
4,0.5,5,predictive_marker,data/example_atlas_v1.json,
4,0.5,5,trust_and_doubt,data/example_atlas_v1.json,
4,0.2,8,blind_oracle_lru_combiner,data/example_atlas_v1.json,
2,0.3,7,ml_gate_v1,stress::predictor_good_lru_bad,
2,0.1,9,ml_gate_v2,stress::predictor_good_lru_bad,0.0
2,0.3,7,rest_v1,stress::predictor_good_lru_bad,
2,0.3,7,atlas_v3,stress::predictor_good_lru_bad,
2,0.1,9,lru,stress::predictor_good_lru_bad,
2,0.1,9,blind_oracle,stress::predictor_good_lru_bad,
2,0.2,8,predictive_marker,stress::predictor_good_lru_bad,
2,0.3,7,trust_and_doubt,stress::predictor_good_lru_bad,
2,0.0,10,blind_oracle_lru_combiner,stress::predictor_good_lru_bad,
3,0.3,7,ml_gate_v1,stress::predictor_good_lru_bad,
3,0.3,7,ml_gate_v2,stress::predictor_good_lru_bad,0.0
3,0.3,7,rest_v1,stress::predictor_good_lru_bad,
3,0.3,7,atlas_v3,stress::predictor_good_lru_bad,
3,0.3,7,lru,stress::predictor_good_lru_bad,
3,0.3,7,blind_oracle,stress::predictor_good_lru_bad,
3,0.4,6,predictive_marker,stress::predictor_good_lru_bad,
3,0.4,6,trust_and_doubt,stress::predictor_good_lru_bad,
3,0.1,9,blind_oracle_lru_combiner,stress::predictor_good_lru_bad,
4,0.6,4,ml_gate_v1,stress::predictor_good_lru_bad,
4,0.6,4,ml_gate_v2,stress::predictor_good_lru_bad,0.0
4,0.6,4,rest_v1,stress::predictor_good_lru_bad,
4,0.6,4,atlas_v3,stress::predictor_good_lru_bad,
4,0.6,4,lru,stress::predictor_good_lru_bad,
4,0.6,4,blind_oracle,stress::predictor_good_lru_bad,
4,0.6,4,predictive_marker,stress::predictor_good_lru_bad,
4,0.6,4,trust_and_doubt,stress::predictor_good_lru_bad,
4,0.6,4,blind_oracle_lru_combiner,stress::predictor_good_lru_bad,
2,0.1,9,ml_gate_v1,stress::predictor_bad_lru_good,
2,0.4,6,ml_gate_v2,stress::predictor_bad_lru_good,0.0
2,0.3,7,rest_v1,stress::predictor_bad_lru_good,
2,0.1,9,atlas_v3,stress::predictor_bad_lru_good,
2,0.4,6,lru,stress::predictor_bad_lru_good,
2,0.1,9,blind_oracle,stress::predictor_bad_lru_good,
2,0.4,6,predictive_marker,stress::predictor_bad_lru_good,
2,0.4,6,trust_and_doubt,stress::predictor_bad_lru_good,
2,0.3,7,blind_oracle_lru_combiner,stress::predictor_bad_lru_good,
3,0.2,8,ml_gate_v1,stress::predictor_bad_lru_good,
3,0.4,6,ml_gate_v2,stress::predictor_bad_lru_good,0.0
3,0.3,7,rest_v1,stress::predictor_bad_lru_good,
3,0.2,8,atlas_v3,stress::predictor_bad_lru_good,
3,0.4,6,lru,stress::predictor_bad_lru_good,
3,0.2,8,blind_oracle,stress::predictor_bad_lru_good,
3,0.4,6,predictive_marker,stress::predictor_bad_lru_good,
3,0.4,6,trust_and_doubt,stress::predictor_bad_lru_good,
3,0.3,7,blind_oracle_lru_combiner,stress::predictor_bad_lru_good,
4,0.3,7,ml_gate_v1,stress::predictor_bad_lru_good,
4,0.4,6,ml_gate_v2,stress::predictor_bad_lru_good,0.0
4,0.3,7,rest_v1,stress::predictor_bad_lru_good,
4,0.3,7,atlas_v3,stress::predictor_bad_lru_good,
4,0.4,6,lru,stress::predictor_bad_lru_good,
4,0.3,7,blind_oracle,stress::predictor_bad_lru_good,
4,0.4,6,predictive_marker,stress::predictor_bad_lru_good,
4,0.4,6,trust_and_doubt,stress::predictor_bad_lru_good,
4,0.3,7,blind_oracle_lru_combiner,stress::predictor_bad_lru_good,
2,0.1,9,ml_gate_v1,stress::mixed_regime,
2,0.0,10,ml_gate_v2,stress::mixed_regime,0.0
2,0.2,8,rest_v1,stress::mixed_regime,
2,0.2,8,atlas_v3,stress::mixed_regime,
2,0.0,10,lru,stress::mixed_regime,
2,0.1,9,blind_oracle,stress::mixed_regime,
2,0.1,9,predictive_marker,stress::mixed_regime,
2,0.2,8,trust_and_doubt,stress::mixed_regime,
2,0.1,9,blind_oracle_lru_combiner,stress::mixed_regime,
3,0.4,6,ml_gate_v1,stress::mixed_regime,
3,0.3,7,ml_gate_v2,stress::mixed_regime,0.0
3,0.4,6,rest_v1,stress::mixed_regime,
3,0.3,7,atlas_v3,stress::mixed_regime,
3,0.3,7,lru,stress::mixed_regime,
3,0.4,6,blind_oracle,stress::mixed_regime,
3,0.3,7,predictive_marker,stress::mixed_regime,
3,0.4,6,trust_and_doubt,stress::mixed_regime,
3,0.3,7,blind_oracle_lru_combiner,stress::mixed_regime,
4,0.6,4,ml_gate_v1,stress::mixed_regime,
4,0.6,4,ml_gate_v2,stress::mixed_regime,0.0
4,0.6,4,rest_v1,stress::mixed_regime,
4,0.6,4,atlas_v3,stress::mixed_regime,
4,0.6,4,lru,stress::mixed_regime,
4,0.6,4,blind_oracle,stress::mixed_regime,
4,0.6,4,predictive_marker,stress::mixed_regime,
4,0.6,4,trust_and_doubt,stress::mixed_regime,
4,0.6,4,blind_oracle_lru_combiner,stress::mixed_regime,
