capacity,delta_vs_lru,diagnostics_count,held_out_family,miss_ratio,misses,model_sha256,objective,seed,trace_sha256,validation_mean_regret,victim_sequence_sha256
32,,0,cloudphysics,0.981025,39241,21b5cf9b4ae038c6fc1e5593f8a6a11ee29483ba0c94cbaab8ceca4b403dcb18,objective_reuse_distance,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.05,67a2b1b8d7c8307be9a2f27d723f32dd106618864c60bd061ab8a516f7d482b9
32,,0,cloudphysics,0.9781,39124,bedc3ac35308db540f6a010201dbbebf6086f50273f3d86224a2aa1099b50102,objective_pairwise,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.025,95133348dd93f6206424ac0ce4eddeacd321a370176f74146d10f97f0c3112ea
64,,0,cloudphysics,0.983025,39321,efd5236f12895b0057f504987db785230887f6a1b9d18d8f3b2ea76b2b12087d,objective_eviction_loss,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.4,938a32c912ba28e1f31194c276834ccea7621ee3347e6d973b2cc9fbcc0e6acb
64,,0,cloudphysics,0.964625,38585,6af0a8a4bb05808829fb467cd081dbb853ea937c542e196d08e06e02628ca9a2,objective_next_arrival,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.0,c26450a8a31d5679807b72d740867c0be871bf0031c555f002cec72b1447e7b0
64,,0,cloudphysics,0.962075,38483,fb6d1ac64e35f8724a41d47a327de830be4293ab252698f183a0223e3c33c69c,objective_reuse_distance,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.0,dee03d81a5a4a3f51020b5d10e6c576c0dd59d816838ab79ca95af6d0f972ca8
64,,0,cloudphysics,0.964825,38593,02702a95638aa8d851a63558f95edb0122d3b5f8fd14563dcfbcbfb1504f84d6,objective_pairwise,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.0,1aead8e04061b3cb1014b77afdb891e7e16dd4ecbb50c672341613465fe2339e
128,,0,cloudphysics,0.9741,38964,81128509003be336d2aabd262cc17e31e6410446c170a8fcd7c77e85ea804f2c,objective_eviction_loss,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.3,c115f28585da5d7b9bbad53065afb2306d91036205a338b1d9f622cbab60f0c1
128,,0,cloudphysics,0.95285,38114,aa91cc45fdac22d656be2b4ff61015eda52cf73e270b856c641e88bf9158ddbf,objective_next_arrival,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.225,86e591983426700e74dfab3f37e83350aa098c41921dea27ab63bb6c94b62ad0
128,,0,cloudphysics,0.950975,38039,cad4b4f758c5693a160c69bbc8826f850b1897208f8f04fb2b40e978cc5e8ff4,objective_reuse_distance,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.1,69748bd57a607265a904000a8c9abc840d66977ae2c4eeb4d0e21a5aaae8763f
128,,0,cloudphysics,0.94765,37906,6ed672cce93689fe5cdce40cde8aea772e433b50b949c86f154399d47810d84c,objective_pairwise,0,fedb3d31ee3c1dd847d25f967392cdf0fdec1e9c1fbb6808772e281bc8d4fb57,0.0,f5319b71282c7217f29861b40a2c7f169b029d2edc16da7e08a95d2a8dabb53a
32,,0,metacdn,0.593175,23727,89ceb1090f39201254195cfd8fa817b38a977f8eb2e3f210e1c0a62a067cfcb8,objective_eviction_loss,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,4e5eb861251e3f91945204865fe2f1bfb39bf7778cb845a05010942cf7b4b865
32,,0,metacdn,0.763825,30553,943afaa1ddf88e421d58101eeb9843edb0a877f2dfaa0280f6f719a8cb05115a,objective_next_arrival,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.075,77a868bd6dfe1b4524ba944be2e189d4aefb9c0b8db7c425b06d2bf01d8beb31
32,,0,metacdn,0.711925,28477,7c9fa2e91e99645c604d4542b87ccac55198881ea7500e7b9f6007a578d6ef17,objective_reuse_distance,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.225,7c51b680f2780168f9c76b5ed942de5f067810c8461d8cac6601f00bd5d278c4
32,,0,metacdn,0.58655,23462,c9f5fd7d06bcc3c5d5528b4084c42c0d9b85eabba1c39d5b94653acb637edb3b,objective_pairwise,0,7301f02e1373cb7e06f1ed2c417a8ebe16581319354780f811c8d032391f4e73,0.0,39f922c1632b6ce7dbc62a4c9d19c6686f41a16eee82f357bd1ef62b687fa3b7
