job_label,instance_id,mode,ranking_mode,k,trace_len,trace,lemma,chain_id,phase,damage_D,I_size,lemma1_chain_monotone,lemma2_head_bound,head_victim_e1,head_stale_set,I_set,a_values
campaign_r1_task13_random,14864,random,adv_bias,5,60,"p2,p8,p4,p6,p4,p4,p4,p2,p4,p0,p7,p2,p7,p7,p7,p6,p7,p7,p7,p7,p2,p0,p5,p6,p6,p5,p6,p1,p1,p1,p0,p7,p5,p8,p1,p1,p7,p0,p1,p5,p6,p4,p2,p1,p6,p5,p8,p2,p0,p4,p0,p6,p0,p3,p3,p1,p0,p4,p6,p5",lemma1_chain_monotone,ph2_c1,2,3,2,False,True,p6,"p2,p4,p6","p2,p4","3,3,3"
campaign_r1_task13_random,14864,random,adv_bias,5,60,"p2,p8,p4,p6,p4,p4,p4,p2,p4,p0,p7,p2,p7,p7,p7,p6,p7,p7,p7,p7,p2,p0,p5,p6,p6,p5,p6,p1,p1,p1,p0,p7,p5,p8,p1,p1,p7,p0,p1,p5,p6,p4,p2,p1,p6,p5,p8,p2,p0,p4,p0,p6,p0,p3,p3,p1,p0,p4,p6,p5",lemma1_chain_monotone,ph3_c0,3,3,3,False,True,p5,"p0,p5,p7,p8","p0,p7,p8","3,5,2"
campaign_r1_task13_random,14864,random,adv_bias,5,60,"p2,p8,p4,p6,p4,p4,p4,p2,p4,p0,p7,p2,p7,p7,p7,p6,p7,p7,p7,p7,p2,p0,p5,p6,p6,p5,p6,p1,p1,p1,p0,p7,p5,p8,p1,p1,p7,p0,p1,p5,p6,p4,p2,p1,p6,p5,p8,p2,p0,p4,p0,p6,p0,p3,p3,p1,p0,p4,p6,p5",lemma1_chain_monotone,ph5_c0,5,3,3,False,True,p5,"p2,p5,p7,p8","p2,p7,p8","4,1000000000000,1000000000000"
campaign_r1_task13_random,14865,random,noisy,5,40,"p3,p3,p2,p8,p5,p3,p3,p2,p2,p2,p6,p3,p6,p0,p5,p2,p3,p0,p6,p6,p7,p4,p4,p0,p4,p0,p4,p4,p4,p6,p4,p0,p6,p1,p4,p1,p4,p8,p4,p4",lemma1_chain_monotone,ph2_c0,2,2,0,False,False,p5,"p0,p3,p5,p6",,"1000000000000,1000000000000"
campaign_r1_task13_random,14865,random,noisy,5,40,"p3,p3,p2,p8,p5,p3,p3,p2,p2,p2,p6,p3,p6,p0,p5,p2,p3,p0,p6,p6,p7,p4,p4,p0,p4,p0,p4,p4,p4,p6,p4,p0,p6,p1,p4,p1,p4,p8,p4,p4",lemma2_head_bound,ph2_c0,2,2,0,False,False,p5,"p0,p3,p5,p6",,"1000000000000,1000000000000"
campaign_r1_task13_random,14872,random,adv_bias,6,57,"p1,p1,p1,p5,p3,p3,p1,p7,p3,p1,p1,p1,p3,p5,p5,p4,p1,p0,p5,p5,p0,p4,p1,p6,p5,p1,p5,p0,p4,p4,p0,p6,p4,p7,p1,p0,p2,p1,p4,p2,p6,p0,p5,p6,p0,p6,p6,p6,p6,p6,p1,p6,p0,p6,p0,p2,p7",lemma1_chain_monotone,ph1_c1,1,2,3,False,True,p0,"p0,p3,p4,p7","p3,p4,p7","1,1"
campaign_r1_task13_random,14872,random,adv_bias,6,57,"p1,p1,p1,p5,p3,p3,p1,p7,p3,p1,p1,p1,p3,p5,p5,p4,p1,p0,p5,p5,p0,p4,p1,p6,p5,p1,p5,p0,p4,p4,p0,p6,p4,p7,p1,p0,p2,p1,p4,p2,p6,p0,p5,p6,p0,p6,p6,p6,p6,p6,p1,p6,p0,p6,p0,p2,p7",lemma1_chain_monotone,ph2_c0,2,3,4,False,True,p6,"p0,p3,p5,p6,p7","p0,p3,p5,p7","2,3,1"
campaign_r1_task13_random,14880,random,adv_bias,5,67,"p3,p3,p3,p4,p6,p3,p3,p3,p4,p3,p10,p2,p1,p3,p3,p10,p3,p3,p2,p7,p3,p5,p5,p5,p10,p5,p3,p3,p2,p6,p5,p2,p2,p4,p1,p1,p1,p4,p4,p4,p4,p4,p1,p4,p9,p1,p0,p3,p0,p4,p8,p1,p10,p2,p1,p0,p7,p0,p6,p7,p0,p0,p2,p2,p7,p0,p2",lemma1_chain_monotone,ph5_c0,5,2,0,False,False,p9,"p1,p3,p8,p9",,"1000000000000,1000000000000"
campaign_r1_task13_random,14880,random,adv_bias,5,67,"p3,p3,p3,p4,p6,p3,p3,p3,p4,p3,p10,p2,p1,p3,p3,p10,p3,p3,p2,p7,p3,p5,p5,p5,p10,p5,p3,p3,p2,p6,p5,p2,p2,p4,p1,p1,p1,p4,p4,p4,p4,p4,p1,p4,p9,p1,p0,p3,p0,p4,p8,p1,p10,p2,p1,p0,p7,p0,p6,p7,p0,p0,p2,p2,p7,p0,p2",lemma2_head_bound,ph5_c0,5,2,0,False,False,p9,"p1,p3,p8,p9",,"1000000000000,1000000000000"
campaign_r1_task13_random,14881,random,adv_bias,6,35,"p0,p6,p6,p0,p6,p2,p0,p6,p0,p4,p2,p0,p3,p6,p2,p3,p1,p0,p1,p1,p3,p0,p6,p4,p2,p0,p3,p0,p0,p5,p4,p2,p0,p0,p4",lemma1_chain_monotone,ph1_c0,1,2,4,False,True,p2,"p0,p1,p2,p3,p6","p0,p1,p3,p6","1,1"
campaign_r1_task13_random,14898,random,adv_bias,3,26,"p5,p5,p5,p6,p3,p5,p6,p7,p4,p7,p3,p5,p3,p6,p4,p4,p0,p1,p0,p4,p0,p0,p1,p1,p2,p1",lemma1_chain_monotone,ph3_c1,3,2,0,False,False,p3,"p3,p6",,"1000000000000,1000000000000"
campaign_r1_task13_random,14898,random,adv_bias,3,26,"p5,p5,p5,p6,p3,p5,p6,p7,p4,p7,p3,p5,p3,p6,p4,p4,p0,p1,p0,p4,p0,p0,p1,p1,p2,p1",lemma2_head_bound,ph3_c1,3,2,0,False,False,p3,"p3,p6",,"1000000000000,1000000000000"
campaign_r1_task13_random,14919,random,noisy,5,82,"p10,p7,p7,p3,p8,p9,p10,p7,p4,p7,p7,p6,p6,p7,p9,p7,p10,p1,p1,p0,p10,p6,p1,p2,p7,p10,p6,p9,p6,p10,p1,p8,p1,p9,p8,p9,p1,p1,p8,p4,p8,p8,p7,p4,p1,p9,p7,p4,p3,p8,p3,p8,p8,p9,p8,p3,p7,p4,p3,p3,p4,p1,p3,p3,p1,p3,p10,p3,p3,p4,p11,p2,p2,p3,p3,p4,p10,p8,p3,p10,p2,p3",lemma1_chain_monotone,ph2_c0,2,2,0,False,False,p8,p8,,"14,8"
campaign_r1_task13_random,14919,random,noisy,5,82,"p10,p7,p7,p3,p8,p9,p10,p7,p4,p7,p7,p6,p6,p7,p9,p7,p10,p1,p1,p0,p10,p6,p1,p2,p7,p10,p6,p9,p6,p10,p1,p8,p1,p9,p8,p9,p1,p1,p8,p4,p8,p8,p7,p4,p1,p9,p7,p4,p3,p8,p3,p8,p8,p9,p8,p3,p7,p4,p3,p3,p4,p1,p3,p3,p1,p3,p10,p3,p3,p4,p11,p2,p2,p3,p3,p4,p10,p8,p3,p10,p2,p3",lemma2_head_bound,ph2_c0,2,2,0,False,False,p8,p8,,"14,8"
campaign_r1_task13_random,14922,random,noisy,8,113,"p1,p1,p3,p1,p1,p1,p1,p1,p1,p3,p1,p1,p12,p1,p1,p1,p3,p13,p1,p12,p3,p1,p12,p5,p1,p1,p1,p1,p1,p8,p1,p1,p1,p1,p1,p1,p1,p8,p1,p1,p1,p1,p8,p1,p1,p5,p1,p8,p8,p5,p1,p5,p1,p1,p1,p8,p1,p1,p1,p9,p1,p8,p5,p9,p3,p1,p1,p5,p1,p1,p1,p9,p1,p1,p3,p9,p3,p1,p1,p1,p1,p1,p1,p3,p4,p17,p1,p2,p1,p1,p1,p5,p1,p17,p1,p2,p4,p1,p1,p1,p1,p1,p2,p1,p1,p4,p1,p1,p1,p1,p1,p1,p0",lemma1_chain_monotone,ph1_c0,1,2,0,False,False,p12,"p12,p13,p3,p4,p5,p8",,"1000000000000,1000000000000"
campaign_r1_task13_random,14922,random,noisy,8,113,"p1,p1,p3,p1,p1,p1,p1,p1,p1,p3,p1,p1,p12,p1,p1,p1,p3,p13,p1,p12,p3,p1,p12,p5,p1,p1,p1,p1,p1,p8,p1,p1,p1,p1,p1,p1,p1,p8,p1,p1,p1,p1,p8,p1,p1,p5,p1,p8,p8,p5,p1,p5,p1,p1,p1,p8,p1,p1,p1,p9,p1,p8,p5,p9,p3,p1,p1,p5,p1,p1,p1,p9,p1,p1,p3,p9,p3,p1,p1,p1,p1,p1,p1,p3,p4,p17,p1,p2,p1,p1,p1,p5,p1,p17,p1,p2,p4,p1,p1,p1,p1,p1,p2,p1,p1,p4,p1,p1,p1,p1,p1,p1,p0",lemma2_head_bound,ph1_c0,1,2,0,False,False,p12,"p12,p13,p3,p4,p5,p8",,"1000000000000,1000000000000"
