trace,capacity,ablation,regime,fraction,next_request_miss_rate,avg_gamma,avg_confidence,match_lru,match_blind_oracle,match_predictive_marker,eviction_count
data/example_unweighted.json,3,dynamic_no_confidence,near_tie,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,confidence_only,predictor_dominated,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,3,confidence_only,fallback_dominated,1.0,0.3333333333333333,1.0,0.5,1.0,0.0,0.0,3
data/example_unweighted.json,3,confidence_only,near_tie,0.0,,,,1.0,0.0,0.0,3
data/example_unweighted.json,4,dynamic_default,predictor_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,dynamic_default,fallback_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,dynamic_default,near_tie,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_1,predictor_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_1,fallback_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_1,near_tie,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_0.5,predictor_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_0.5,fallback_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_0.5,near_tie,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_0,predictor_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_0,fallback_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,fixed_gamma_0,near_tie,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,dynamic_no_confidence,predictor_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,dynamic_no_confidence,fallback_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,dynamic_no_confidence,near_tie,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,confidence_only,predictor_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,confidence_only,fallback_dominated,0.0,,,,0.0,0.0,0.0,0
data/example_unweighted.json,4,confidence_only,near_tie,0.0,,,,0.0,0.0,0.0,0
data/example_atlas_v1.json,2,dynamic_default,predictor_dominated,0.8333333333333334,0.5,0.8543959999999999,0.76,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,dynamic_default,fallback_dominated,0.16666666666666666,1,0.9313999999999998,0.6000000000000001,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,dynamic_default,near_tie,0.0,,,,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,fixed_gamma_1,predictor_dominated,0.8333333333333334,0.5,1.0,0.76,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,fixed_gamma_1,fallback_dominated,0.16666666666666666,1,1.0,0.6000000000000001,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,fixed_gamma_1,near_tie,0.0,,,,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,fixed_gamma_0.5,predictor_dominated,0.0,,,,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,fixed_gamma_0.5,fallback_dominated,1.0,1,0.5,0.68125,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,fixed_gamma_0.5,near_tie,0.0,,,,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,fixed_gamma_0,predictor_dominated,0.0,,,,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,fixed_gamma_0,fallback_dominated,1.0,1,0.0,0.68125,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,fixed_gamma_0,near_tie,0.0,,,,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,dynamic_no_confidence,predictor_dominated,0.0,,,,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,dynamic_no_confidence,fallback_dominated,1.0,1,0.8,0.5,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,dynamic_no_confidence,near_tie,0.0,,,,1.0,0.25,0.75,8
data/example_atlas_v1.json,2,confidence_only,predictor_dominated,0.8333333333333334,0.5,1.0,0.76,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,confidence_only,fallback_dominated,0.16666666666666666,1,1.0,0.6000000000000001,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,2,confidence_only,near_tie,0.0,,,,0.3333333333333333,0.3333333333333333,0.5,6
data/example_atlas_v1.json,3,dynamic_default,predictor_dominated,0.5,0,0.8,0.7333333333333334,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,dynamic_default,fallback_dominated,0.5,1,0.8809999999999999,0.5833333333333333,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,dynamic_default,near_tie,0.0,,,,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,fixed_gamma_1,predictor_dominated,0.5,0,1.0,0.7333333333333334,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,fixed_gamma_1,fallback_dominated,0.5,1,1.0,0.5833333333333333,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,fixed_gamma_1,near_tie,0.0,,,,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,fixed_gamma_0.5,predictor_dominated,0.0,,,,0.8,0.0,0.0,5
data/example_atlas_v1.json,3,fixed_gamma_0.5,fallback_dominated,1.0,0.75,0.5,0.68,0.8,0.0,0.0,5
data/example_atlas_v1.json,3,fixed_gamma_0.5,near_tie,0.0,,,,0.8,0.0,0.0,5
data/example_atlas_v1.json,3,fixed_gamma_0,predictor_dominated,0.0,,,,1.0,0.0,0.16666666666666666,6
data/example_atlas_v1.json,3,fixed_gamma_0,fallback_dominated,1.0,1,0.0,0.65,1.0,0.0,0.16666666666666666,6
data/example_atlas_v1.json,3,fixed_gamma_0,near_tie,0.0,,,,1.0,0.0,0.16666666666666666,6
data/example_atlas_v1.json,3,dynamic_no_confidence,predictor_dominated,0.2,0,0.8,0.5,0.8,0.0,0.0,5
data/example_atlas_v1.json,3,dynamic_no_confidence,fallback_dominated,0.8,1,0.815,0.5,0.8,0.0,0.0,5
data/example_atlas_v1.json,3,dynamic_no_confidence,near_tie,0.0,,,,0.8,0.0,0.0,5
data/example_atlas_v1.json,3,confidence_only,predictor_dominated,0.5,0,1.0,0.7333333333333334,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,confidence_only,fallback_dominated,0.5,1,1.0,0.5833333333333333,0.5,0.0,0.25,4
data/example_atlas_v1.json,3,confidence_only,near_tie,0.0,,,,0.5,0.0,0.25,4
data/example_atlas_v1.json,4,dynamic_default,predictor_dominated,0.5,0,0.8,0.7,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,dynamic_default,fallback_dominated,0.5,0,0.5599999999999999,0.575,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,dynamic_default,near_tie,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_1,predictor_dominated,1.0,0,1.0,0.6375,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_1,fallback_dominated,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_1,near_tie,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_0.5,predictor_dominated,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_0.5,fallback_dominated,1.0,0,0.5,0.6375,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_0.5,near_tie,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_0,predictor_dominated,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_0,fallback_dominated,1.0,0,0.0,0.6375,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,fixed_gamma_0,near_tie,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,dynamic_no_confidence,predictor_dominated,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,dynamic_no_confidence,fallback_dominated,1.0,0,0.8,0.5,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,dynamic_no_confidence,near_tie,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,confidence_only,predictor_dominated,1.0,0,1.0,0.6375,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,confidence_only,fallback_dominated,0.0,,,,1.0,0.0,0.0,2
data/example_atlas_v1.json,4,confidence_only,near_tie,0.0,,,,1.0,0.0,0.0,2
