family,capacity,horizon,decisions,candidate_rows,all_tied_fraction,discriminativeness,mean_optimal_set_fraction,random_optimal_probability,mean_random_regret
metacdn,64,64,28552,1827328,0.0,1.0,0.9437358810240963,0.9437358810240963,0.05721523448444943
metacdn,64,128,28552,1827328,0.0,1.0,0.9311820319066966,0.9311820319066966,0.07107262626085738
metacdn,128,32,27683,3543424,0.0005779720406025358,0.9994220279593975,0.9752973395224506,0.9752973395224506,0.024732575046057147
metacdn,128,64,27683,3543424,0.0,1.0,0.966916180507893,0.966916180507893,0.03317948966874978
metacdn,128,128,27683,3543424,0.0,1.0,0.9561822124589098,0.9561822124589098,0.044128503955496154
metacdn,256,32,26737,6844672,0.0005236189550061713,0.9994763810449938,0.9856171340277518,0.9856171340277518,0.014388417735722032
metacdn,256,64,26737,6844672,0.0,1.0,0.9794286709428881,0.9794286709428881,0.020586085060029173
metacdn,256,128,26737,6844672,0.0,1.0,0.9705126849029435,0.9705126849029435,0.029529683818304224
metakv,32,32,38032,1217024,0.8628260412284392,0.1371739587715608,0.9949277910706773,0.9949277910706773,0.005082890723601178
metakv,32,64,38032,1217024,0.862142406394615,0.13785759360538496,0.9945177745056795,0.9945177745056795,0.00551016249474127
metakv,32,128,38032,1217024,0.862142406394615,0.13785759360538496,0.9945177745056795,0.9945177745056795,0.00551016249474127
metakv,64,32,37977,2430528,0.8540169049687969,0.1459830950312031,0.9974482910709114,0.9974482910709114,0.002551708929088659
metakv,64,64,37977,2430528,0.8457224109329331,0.1542775890670669,0.9972627346815177,0.9972627346815177,0.0027372653184822393
metakv,64,128,37977,2430528,0.8446164783948179,0.1553835216051821,0.997240105853543,0.997240105853543,0.0027598941464570662
metakv,128,32,37856,4845568,0.843697168216399,0.15630283178360105,0.9985186463176247,0.9985186463176247,0.001481353682375317
metakv,128,64,37856,4845568,0.8283495350803043,0.1716504649196957,0.9982086723372781,0.9982086723372781,0.0017913276627218935
metakv,128,128,37856,4845568,0.8184699915469146,0.18153000845308542,0.9978596936416948,0.9978596936416948,0.002140306358305156
metakv,256,32,37486,9596416,0.817398495438297,0.182601504561703,0.9987676649282399,0.9987676649282399,0.0012326476884703622
metakv,256,64,37486,9596416,0.8018460225150723,0.1981539774849277,0.9980556282678866,0.9980556282678866,0.0019448927599637197
metakv,256,128,37486,9596416,0.7928293229472336,0.20717067705276637,0.9966061287880809,0.9966061287880809,0.003395434295470309
twemcache,32,32,23171,741472,0.1721116913383108,0.8278883086616892,0.9392492231668896,0.9392492231668896,0.061690798843381814
twemcache,32,64,23171,741472,0.1144534115920763,0.8855465884079237,0.9150325298864961,0.9150325298864961,0.08725346338095033
twemcache,32,128,23171,741472,0.11285658797634975,0.8871434120236502,0.9131996892667559,0.9131996892667559,0.08924005222044798
twemcache,64,32,20390,1304960,0.05179009318293281,0.9482099068170672,0.9429047633643943,0.9429047633643943,0.07313021088769005
twemcache,64,64,20390,1304960,0.004806277587052476,0.9951937224129476,0.8946458128984797,0.8946458128984797,0.16947569274153998
twemcache,64,128,20390,1304960,4.9043648847474255e-05,0.9999509563511525,0.7879015448749387,0.7879015448749387,0.4822055848455125
twemcache,128,32,4532,580096,0.000441306266548985,0.999558693733451,0.8961637384157105,0.8961637384157105,0.1041844798102383
twemcache,128,64,4532,580096,0.0002206531332744925,0.9997793468667255,0.803675598521624,0.803675598521624,0.19759832855251544
twemcache,128,128,4532,580096,0.0002206531332744925,0.9997793468667255,0.6285735464474845,0.6285735464474845,0.37471728817299205
twemcache,256,32,3531,903936,0.0005664117813650524,0.9994335882186349,0.9455260106910224,0.9455260106910224,0.05447398930897763
twemcache,256,64,3531,903936,0.0002832058906825262,0.9997167941093175,0.8965612609742283,0.8965612609742283,0.10343873902577173
twemcache,256,128,3531,903936,0.0002832058906825262,0.9997167941093175,0.8035679517133957,0.8035679517133957,0.19643204828660435
wiki2018,32,32,49968,1598976,1.0,0.0,1.0,1.0,0.0
wiki2018,32,64,49968,1598976,1.0,0.0,1.0,1.0,0.0
wiki2018,32,128,49968,1598976,1.0,0.0,1.0,1.0,0.0
wiki2018,64,32,49936,3195904,1.0,0.0,1.0,1.0,0.0
wiki2018,64,64,49936,3195904,1.0,0.0,1.0,1.0,0.0
wiki2018,64,128,49936,3195904,1.0,0.0,1.0,1.0,0.0
wiki2018,128,32,49872,6383616,1.0,0.0,1.0,1.0,0.0
wiki2018,128,64,49872,6383616,1.0,0.0,1.0,1.0,0.0
wiki2018,128,128,49872,6383616,1.0,0.0,1.0,1.0,0.0
wiki2018,256,32,49744,12734464,1.0,0.0,1.0,1.0,0.0
wiki2018,256,64,49744,12734464,1.0,0.0,1.0,1.0,0.0
wiki2018,256,128,49744,12734464,1.0,0.0,1.0,1.0,0.0
