example_id,decision_step,branch_id,method,gold_branch_id,baseline_pick_branch_id,expanded_pick_branch_id,baseline_correct,target_expand_value,target_expand_delta,target_expand_better_than_baseline,target_expand_approx_from_future_observation,split,raw_score,depth,expansions,verifications,remaining_budget,post_verify_score,score_delta,survived_pruning_steps
greedy_single_path::ep1,2,1,greedy_single_path,2,1,1,0,0.0,0.0,0,1,val,0.5081438267219958,5.0,2.0,1.0,5.0,0.5081438267219958,0.020119941475547354,2.0
greedy_single_path::ep1,3,1,greedy_single_path,2,1,1,0,0.0,0.0,0,1,val,0.5240978862337762,6.0,3.0,1.0,4.0,0.5240978862337762,0.015954059511780416,3.0
greedy_single_path::ep1,4,1,greedy_single_path,2,1,1,0,0.0,0.0,0,1,val,0.6782908182246176,7.0,4.0,1.0,3.0,0.6782908182246176,0.1541929319908414,4.0
greedy_single_path::ep1,5,1,greedy_single_path,2,1,1,0,0.0,0.0,0,1,val,0.6412060426435009,8.0,5.0,2.0,2.0,0.6412060426435009,-0.03708477558111667,5.0
greedy_single_path::ep1,6,1,greedy_single_path,2,1,1,0,0.0,0.0,0,1,val,0.6822022254476008,9.0,6.0,2.0,1.0,0.6822022254476008,0.04099618280409989,6.0
greedy_single_path::ep1,7,1,greedy_single_path,2,1,1,0,0.0,0.0,0,0,val,0.7014295418713852,10.0,7.0,2.0,0.0,0.7014295418713852,0.01922731642378439,7.0
greedy_single_path::ep2,0,1,greedy_single_path,1,1,1,1,1.0,0.0,0,0,val,0.7088247513636623,4.0,1.0,1.0,7.0,0.7088247513636623,-0.06968610731298852,0.0
greedy_single_path::ep2,1,4,greedy_single_path,1,4,4,0,0.0,0.0,0,1,val,0.8971469705469511,2.0,1.0,1.0,6.0,0.8971469705469511,0.1391064535531923,1.0
greedy_single_path::ep2,2,4,greedy_single_path,1,4,4,0,0.0,0.0,0,1,val,0.9649355130300696,3.0,2.0,2.0,5.0,0.9649355130300696,0.0677885424831185,2.0
greedy_single_path::ep2,3,4,greedy_single_path,1,4,4,0,0.0,0.0,0,1,val,0.9221408376171795,4.0,3.0,2.0,4.0,0.9221408376171795,-0.04279467541289017,3.0
greedy_single_path::ep2,4,4,greedy_single_path,1,4,4,0,0.0,0.0,0,1,val,0.8614309627321654,5.0,4.0,2.0,3.0,0.8614309627321654,-0.060709874885014115,4.0
greedy_single_path::ep2,5,4,greedy_single_path,1,4,4,0,0.0,0.0,0,1,val,0.796383359024077,6.0,5.0,2.0,2.0,0.796383359024077,-0.06504760370808838,5.0
greedy_single_path::ep2,6,4,greedy_single_path,1,4,4,0,0.0,0.0,0,1,val,0.7602430609268038,7.0,6.0,2.0,1.0,0.7602430609268038,-0.03614029809727315,6.0
greedy_single_path::ep2,7,4,greedy_single_path,1,4,4,0,0.0,0.0,0,0,val,0.9515217777924113,8.0,7.0,3.0,0.0,0.9515217777924113,0.1912787168656075,7.0
greedy_single_path::ep3,0,1,greedy_single_path,1,1,1,1,1.0,0.0,0,1,val,0.9979037186865889,2.0,1.0,0.0,7.0,0.9979037186865889,0.0,0.0
greedy_single_path::ep3,1,1,greedy_single_path,1,1,1,1,1.0,0.0,0,1,val,1.0,3.0,2.0,1.0,6.0,1.0,0.002096281313411108,1.0
greedy_single_path::ep3,2,1,greedy_single_path,1,1,1,1,1.0,0.0,0,1,val,1.0,4.0,3.0,1.0,5.0,1.0,0.0,2.0
greedy_single_path::ep3,3,1,greedy_single_path,1,1,1,1,1.0,0.0,0,1,val,0.9626199929030272,5.0,4.0,2.0,4.0,0.9626199929030272,-0.037380007096972756,3.0
greedy_single_path::ep3,4,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,val,0.9958357204077907,2.0,1.0,0.0,3.0,0.9958357204077907,0.0,4.0
greedy_single_path::ep3,5,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,val,1.0,3.0,2.0,1.0,2.0,1.0,0.00416427959220933,5.0
greedy_single_path::ep3,6,3,greedy_single_path,1,3,3,0,0.0,0.0,0,0,val,0.9381663276831835,4.0,3.0,1.0,1.0,0.9381663276831835,-0.06183367231681647,6.0
greedy_single_path::ep3,7,1,greedy_single_path,1,1,1,1,1.0,0.0,0,0,val,1.0,6.0,5.0,2.0,0.0,1.0,0.037380007096972756,7.0
greedy_single_path::ep4,0,3,greedy_single_path,4,3,3,0,0.0,0.0,0,1,train,1.0,3.0,1.0,1.0,7.0,1.0,0.18219805054035176,0.0
greedy_single_path::ep4,1,3,greedy_single_path,4,3,3,0,0.0,0.0,0,1,train,1.0,4.0,2.0,1.0,6.0,1.0,0.0,1.0
greedy_single_path::ep4,2,3,greedy_single_path,4,3,3,0,0.0,0.0,0,1,train,0.9311519044094844,5.0,3.0,1.0,5.0,0.9311519044094844,-0.06884809559051563,2.0
greedy_single_path::ep4,3,3,greedy_single_path,4,3,3,0,0.0,0.0,0,1,train,1.0,6.0,4.0,2.0,4.0,1.0,0.06884809559051563,3.0
greedy_single_path::ep4,4,3,greedy_single_path,4,3,3,0,0.0,0.0,0,1,train,1.0,7.0,5.0,3.0,3.0,1.0,0.0,4.0
greedy_single_path::ep4,5,3,greedy_single_path,4,3,3,0,0.0,0.0,0,1,train,1.0,8.0,6.0,4.0,2.0,1.0,0.0,5.0
greedy_single_path::ep4,6,3,greedy_single_path,4,3,3,0,0.0,0.0,0,1,train,0.9880306039454212,9.0,7.0,4.0,1.0,0.9880306039454212,-0.011969396054578807,6.0
greedy_single_path::ep4,7,3,greedy_single_path,4,3,3,0,0.0,0.0,0,0,train,1.0,10.0,8.0,5.0,0.0,1.0,0.011969396054578807,7.0
greedy_single_path::ep5,0,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.7018612444487463,2.0,1.0,1.0,7.0,0.7018612444487463,-0.04712386738815488,0.0
greedy_single_path::ep5,1,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.7735120713195419,3.0,2.0,1.0,6.0,0.7735120713195419,0.0716508268707956,1.0
greedy_single_path::ep5,2,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.7821556183293862,4.0,3.0,2.0,5.0,0.7821556183293862,0.008643547009844266,2.0
greedy_single_path::ep5,3,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.9763036447308574,5.0,4.0,2.0,4.0,0.9763036447308574,0.19414802640147122,3.0
greedy_single_path::ep5,4,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,1.0,6.0,5.0,2.0,3.0,1.0,0.0236963552691426,4.0
greedy_single_path::ep5,5,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.9421041561436854,7.0,6.0,2.0,2.0,0.9421041561436854,-0.05789584385631463,5.0
greedy_single_path::ep5,6,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.847472415263955,8.0,7.0,3.0,1.0,0.847472415263955,-0.09463174087973036,6.0
greedy_single_path::ep5,7,3,greedy_single_path,1,3,3,0,0.0,0.0,0,0,train,0.9577634208868591,9.0,8.0,3.0,0.0,0.9577634208868591,0.11029100562290406,7.0
greedy_single_path::ep6,0,0,greedy_single_path,0,0,0,1,1.0,0.0,0,1,train,0.9627710136290032,2.0,1.0,0.0,7.0,0.9627710136290032,0.0,0.0
greedy_single_path::ep6,1,0,greedy_single_path,0,0,0,1,1.0,0.0,0,1,train,0.9627710136290032,3.0,2.0,0.0,6.0,0.9627710136290032,0.0,1.0
greedy_single_path::ep6,2,0,greedy_single_path,0,0,0,1,1.0,0.0,0,1,train,0.9627710136290032,4.0,3.0,0.0,5.0,0.9627710136290032,0.0,2.0
greedy_single_path::ep6,3,0,greedy_single_path,0,0,0,1,1.0,0.0,0,1,train,0.9627710136290032,5.0,4.0,0.0,4.0,0.9627710136290032,0.0,3.0
greedy_single_path::ep6,4,0,greedy_single_path,0,0,0,1,1.0,0.0,0,1,train,0.9627710136290032,6.0,5.0,0.0,3.0,0.9627710136290032,0.0,4.0
greedy_single_path::ep6,5,0,greedy_single_path,0,0,0,1,1.0,0.0,0,1,train,0.9627710136290032,7.0,6.0,0.0,2.0,0.9627710136290032,0.0,5.0
greedy_single_path::ep6,6,0,greedy_single_path,0,0,0,1,1.0,0.0,0,1,train,0.9627710136290032,8.0,7.0,0.0,1.0,0.9627710136290032,0.0,6.0
greedy_single_path::ep6,7,0,greedy_single_path,0,0,0,1,1.0,0.0,0,0,train,0.9627710136290032,9.0,8.0,0.0,0.0,0.9627710136290032,0.0,7.0
greedy_single_path::ep7,0,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,0.8714338763233519,2.0,1.0,1.0,7.0,0.8714338763233519,-0.07280547028913131,0.0
greedy_single_path::ep7,1,1,greedy_single_path,4,1,1,0,0.0,0.0,0,0,train,0.8485948580972167,3.0,2.0,2.0,6.0,0.8485948580972167,-0.02283901822613521,1.0
greedy_single_path::ep7,2,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.8711012591220109,5.0,1.0,0.0,5.0,0.8711012591220109,0.0,2.0
greedy_single_path::ep7,3,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,1.0,6.0,2.0,1.0,4.0,1.0,0.12889874087798914,3.0
greedy_single_path::ep7,4,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,1.0,7.0,3.0,1.0,3.0,1.0,0.0,4.0
greedy_single_path::ep7,5,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,1.0,8.0,4.0,1.0,2.0,1.0,0.0,5.0
greedy_single_path::ep7,6,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,1.0,9.0,5.0,1.0,1.0,1.0,0.0,6.0
greedy_single_path::ep7,7,0,greedy_single_path,4,0,0,0,0.0,0.0,0,0,train,0.9263196732423234,10.0,6.0,2.0,0.0,0.9263196732423234,-0.07368032675767655,7.0
greedy_single_path::ep8,0,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,val,0.8498534591087353,3.0,1.0,1.0,7.0,0.8498534591087353,0.17171647997764705,0.0
greedy_single_path::ep8,1,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,val,0.8824332033396414,4.0,2.0,1.0,6.0,0.8824332033396414,0.03257974423090604,1.0
greedy_single_path::ep8,2,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,val,0.8805213889884638,5.0,3.0,1.0,5.0,0.8805213889884638,-0.0019118143511775987,2.0
greedy_single_path::ep8,3,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,val,0.8400731226480586,6.0,4.0,1.0,4.0,0.8400731226480586,-0.040448266340405215,3.0
greedy_single_path::ep8,4,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,val,0.9818696424519768,7.0,5.0,1.0,3.0,0.9818696424519768,0.14179651980391828,4.0
greedy_single_path::ep8,5,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,val,1.0,8.0,6.0,1.0,2.0,1.0,0.018130357548023168,5.0
greedy_single_path::ep8,6,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,val,1.0,9.0,7.0,1.0,1.0,1.0,0.0,6.0
greedy_single_path::ep8,7,4,greedy_single_path,4,4,4,1,1.0,0.0,0,0,val,0.9408528979149895,10.0,8.0,2.0,0.0,0.9408528979149895,-0.059147102085010506,7.0
greedy_single_path::ep9,0,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.9257318691468266,5.0,1.0,0.0,7.0,0.9257318691468266,0.0,0.0
greedy_single_path::ep9,1,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.9257318691468266,6.0,2.0,0.0,6.0,0.9257318691468266,0.0,1.0
greedy_single_path::ep9,2,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,1.0,7.0,3.0,1.0,5.0,1.0,0.07426813085317341,2.0
greedy_single_path::ep9,3,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,1.0,8.0,4.0,1.0,4.0,1.0,0.0,3.0
greedy_single_path::ep9,4,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.9094457327085518,9.0,5.0,2.0,3.0,0.9094457327085518,-0.09055426729144822,4.0
greedy_single_path::ep9,5,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.8218922524669283,10.0,6.0,2.0,2.0,0.8218922524669283,-0.08755348024162346,5.0
greedy_single_path::ep9,6,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.8930668405680204,11.0,7.0,2.0,1.0,0.8930668405680204,0.07117458810109212,6.0
greedy_single_path::ep9,7,4,greedy_single_path,3,4,4,0,0.0,0.0,0,0,train,1.0,12.0,8.0,3.0,0.0,1.0,0.10693315943197956,7.0
greedy_single_path::ep10,0,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.8574647884328326,2.0,1.0,1.0,7.0,0.8574647884328326,0.06061747444058141,0.0
greedy_single_path::ep10,1,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.8680697182639961,3.0,2.0,1.0,6.0,0.8680697182639961,0.010604929831163568,1.0
greedy_single_path::ep10,2,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.8274848147540993,4.0,3.0,2.0,5.0,0.8274848147540993,-0.04058490350989685,2.0
greedy_single_path::ep10,3,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.8042974810630226,5.0,4.0,2.0,4.0,0.8042974810630226,-0.023187333691076728,3.0
greedy_single_path::ep10,4,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.9308127692793442,6.0,5.0,2.0,3.0,0.9308127692793442,0.12651528821632163,4.0
greedy_single_path::ep10,5,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.8416652712210373,7.0,6.0,2.0,2.0,0.8416652712210373,-0.0891474980583069,5.0
greedy_single_path::ep10,6,4,greedy_single_path,3,4,4,0,0.0,0.0,0,1,train,0.9752404283248877,8.0,7.0,3.0,1.0,0.9752404283248877,0.13357515710385037,6.0
greedy_single_path::ep10,7,4,greedy_single_path,3,4,4,0,0.0,0.0,0,0,train,1.0,9.0,8.0,3.0,0.0,1.0,0.024759571675112335,7.0
greedy_single_path::ep11,0,0,greedy_single_path,3,0,0,0,0.0,0.0,0,1,train,0.5004160226467822,3.0,1.0,0.0,7.0,0.5004160226467822,0.0,0.0
greedy_single_path::ep11,1,0,greedy_single_path,3,0,0,0,0.0,0.0,0,1,train,0.5004160226467822,4.0,2.0,0.0,6.0,0.5004160226467822,0.0,1.0
greedy_single_path::ep11,2,0,greedy_single_path,3,0,0,0,0.0,0.0,0,1,train,0.5004160226467822,5.0,3.0,0.0,5.0,0.5004160226467822,0.0,2.0
greedy_single_path::ep11,3,0,greedy_single_path,3,0,0,0,0.0,0.0,0,1,train,0.5004160226467822,6.0,4.0,0.0,4.0,0.5004160226467822,0.0,3.0
greedy_single_path::ep11,4,0,greedy_single_path,3,0,0,0,0.0,0.0,0,1,train,0.498356211258802,7.0,5.0,1.0,3.0,0.498356211258802,-0.002059811387980226,4.0
greedy_single_path::ep11,5,0,greedy_single_path,3,0,0,0,0.0,0.0,0,1,train,0.42804560457486746,8.0,6.0,1.0,2.0,0.42804560457486746,-0.07031060668393452,5.0
greedy_single_path::ep11,6,0,greedy_single_path,3,0,0,0,0.0,0.0,0,1,train,0.5675374963798374,9.0,7.0,1.0,1.0,0.5675374963798374,0.13949189180496996,6.0
greedy_single_path::ep11,7,0,greedy_single_path,3,0,0,0,0.0,0.0,0,0,train,0.5045827149070723,10.0,8.0,1.0,0.0,0.5045827149070723,-0.06295478147276512,7.0
greedy_single_path::ep12,0,1,greedy_single_path,0,1,1,0,0.0,0.0,0,1,train,0.9804931513059314,4.0,1.0,0.0,7.0,0.9804931513059314,0.0,0.0
greedy_single_path::ep12,1,1,greedy_single_path,0,1,1,0,0.0,0.0,0,1,train,0.9804931513059314,5.0,2.0,0.0,6.0,0.9804931513059314,0.0,1.0
greedy_single_path::ep12,2,1,greedy_single_path,0,1,1,0,0.0,0.0,0,1,train,0.9804931513059314,6.0,3.0,0.0,5.0,0.9804931513059314,0.0,2.0
greedy_single_path::ep12,3,1,greedy_single_path,0,1,1,0,0.0,0.0,0,1,train,0.9804931513059314,7.0,4.0,0.0,4.0,0.9804931513059314,0.0,3.0
greedy_single_path::ep12,4,1,greedy_single_path,0,1,1,0,0.0,0.0,0,1,train,1.0,8.0,5.0,1.0,3.0,1.0,0.0195068486940686,4.0
greedy_single_path::ep12,5,1,greedy_single_path,0,1,1,0,0.0,0.0,0,1,train,1.0,9.0,6.0,2.0,2.0,1.0,0.0,5.0
greedy_single_path::ep12,6,1,greedy_single_path,0,1,1,0,0.0,0.0,0,1,train,1.0,10.0,7.0,3.0,1.0,1.0,0.0,6.0
greedy_single_path::ep12,7,1,greedy_single_path,0,1,1,0,0.0,0.0,0,0,train,0.9421500596491142,11.0,8.0,3.0,0.0,0.9421500596491142,-0.057849940350885753,7.0
greedy_single_path::ep13,0,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,0.9457473969454969,5.0,1.0,0.0,7.0,0.9457473969454969,0.0,0.0
greedy_single_path::ep13,1,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,0.9457473969454969,6.0,2.0,0.0,6.0,0.9457473969454969,0.0,1.0
greedy_single_path::ep13,2,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,0.9457473969454969,7.0,3.0,0.0,5.0,0.9457473969454969,0.0,2.0
greedy_single_path::ep13,3,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,0.9457473969454969,8.0,4.0,0.0,4.0,0.9457473969454969,0.0,3.0
greedy_single_path::ep13,4,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,0.9601124909995057,9.0,5.0,1.0,3.0,0.9601124909995057,0.014365094054008765,4.0
greedy_single_path::ep13,5,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,1.0,10.0,6.0,1.0,2.0,1.0,0.039887509000494314,5.0
greedy_single_path::ep13,6,1,greedy_single_path,4,1,1,0,0.0,0.0,0,1,train,1.0,11.0,7.0,2.0,1.0,1.0,0.0,6.0
greedy_single_path::ep13,7,1,greedy_single_path,4,1,1,0,0.0,0.0,0,0,train,1.0,12.0,8.0,2.0,0.0,1.0,0.0,7.0
greedy_single_path::ep14,0,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.5729890800837248,3.0,1.0,0.0,7.0,0.5729890800837248,0.0,0.0
greedy_single_path::ep14,1,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.5729890800837248,4.0,2.0,0.0,6.0,0.5729890800837248,0.0,1.0
greedy_single_path::ep14,2,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.5729890800837248,5.0,3.0,0.0,5.0,0.5729890800837248,0.0,2.0
greedy_single_path::ep14,3,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.5729890800837248,6.0,4.0,0.0,4.0,0.5729890800837248,0.0,3.0
greedy_single_path::ep14,4,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.6346037122259144,7.0,5.0,1.0,3.0,0.6346037122259144,0.06161463214218954,4.0
greedy_single_path::ep14,5,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.8216632356900445,8.0,6.0,1.0,2.0,0.8216632356900445,0.18705952346413013,5.0
greedy_single_path::ep14,6,0,greedy_single_path,4,0,0,0,0.0,0.0,0,1,train,0.8024273727039213,9.0,7.0,1.0,1.0,0.8024273727039213,-0.01923586298612323,6.0
greedy_single_path::ep14,7,0,greedy_single_path,4,0,0,0,0.0,0.0,0,0,train,0.7405176494362486,10.0,8.0,1.0,0.0,0.7405176494362486,-0.061909723267672634,7.0
greedy_single_path::ep15,0,3,greedy_single_path,0,3,3,0,0.0,0.0,0,1,train,0.8934484754783851,3.0,1.0,1.0,7.0,0.8934484754783851,-0.03182220307327943,0.0
greedy_single_path::ep15,1,3,greedy_single_path,0,3,3,0,0.0,0.0,0,1,train,0.8900731502536937,4.0,2.0,1.0,6.0,0.8900731502536937,-0.0033753252246914167,1.0
greedy_single_path::ep15,2,3,greedy_single_path,0,3,3,0,0.0,0.0,0,1,train,0.9760030510313824,5.0,3.0,1.0,5.0,0.9760030510313824,0.0859299007776887,2.0
greedy_single_path::ep15,3,3,greedy_single_path,0,3,3,0,0.0,0.0,0,1,train,1.0,6.0,4.0,2.0,4.0,1.0,0.023996948968617593,3.0
greedy_single_path::ep15,4,3,greedy_single_path,0,3,3,0,0.0,0.0,0,1,train,1.0,7.0,5.0,3.0,3.0,1.0,0.0,4.0
greedy_single_path::ep15,5,3,greedy_single_path,0,3,3,0,0.0,0.0,0,1,train,0.9593186543167402,8.0,6.0,4.0,2.0,0.9593186543167402,-0.04068134568325976,5.0
greedy_single_path::ep15,6,3,greedy_single_path,0,3,3,0,0.0,0.0,0,1,train,0.9903514580233788,9.0,7.0,4.0,1.0,0.9903514580233788,0.031032803706638523,6.0
greedy_single_path::ep15,7,3,greedy_single_path,0,3,3,0,0.0,0.0,0,0,train,1.0,10.0,8.0,4.0,0.0,1.0,0.009648541976621239,7.0
greedy_single_path::ep16,0,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,train,1.0,4.0,1.0,1.0,7.0,1.0,0.09732247009027761,0.0
greedy_single_path::ep16,1,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,train,1.0,5.0,2.0,2.0,6.0,1.0,0.0,1.0
greedy_single_path::ep16,2,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,train,0.9401796673736815,6.0,3.0,2.0,5.0,0.9401796673736815,-0.05982033262631847,2.0
greedy_single_path::ep16,3,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,train,1.0,7.0,4.0,3.0,4.0,1.0,0.05982033262631847,3.0
greedy_single_path::ep16,4,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,train,0.9291047627511558,8.0,5.0,4.0,3.0,0.9291047627511558,-0.07089523724884417,4.0
greedy_single_path::ep16,5,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,train,0.9555939413117036,9.0,6.0,4.0,2.0,0.9555939413117036,0.026489178560547777,5.0
greedy_single_path::ep16,6,4,greedy_single_path,4,4,4,1,1.0,0.0,0,1,train,0.8933949236096139,10.0,7.0,4.0,1.0,0.8933949236096139,-0.06219901770208969,6.0
greedy_single_path::ep16,7,4,greedy_single_path,4,4,4,1,1.0,0.0,0,0,train,0.9989593952393032,11.0,8.0,4.0,0.0,0.9989593952393032,0.1055644716296893,7.0
greedy_single_path::ep17,0,2,greedy_single_path,0,2,2,0,0.0,0.0,0,1,train,0.9113729731811138,4.0,1.0,0.0,7.0,0.9113729731811138,0.0,0.0
greedy_single_path::ep17,1,2,greedy_single_path,0,2,2,0,0.0,0.0,0,1,train,1.0,5.0,2.0,1.0,6.0,1.0,0.08862702681888623,1.0
greedy_single_path::ep17,2,2,greedy_single_path,0,2,2,0,0.0,0.0,0,1,train,1.0,6.0,3.0,1.0,5.0,1.0,0.0,2.0
greedy_single_path::ep17,3,2,greedy_single_path,0,2,2,0,0.0,0.0,0,1,train,0.9568713408362932,7.0,4.0,1.0,4.0,0.9568713408362932,-0.043128659163706784,3.0
greedy_single_path::ep17,4,2,greedy_single_path,0,2,2,0,0.0,0.0,0,1,train,0.9086188369052498,8.0,5.0,2.0,3.0,0.9086188369052498,-0.04825250393104341,4.0
greedy_single_path::ep17,5,2,greedy_single_path,0,2,2,0,0.0,0.0,0,1,train,0.8935471719912653,9.0,6.0,3.0,2.0,0.8935471719912653,-0.015071664913984484,5.0
greedy_single_path::ep17,6,2,greedy_single_path,0,2,2,0,0.0,0.0,0,1,train,0.9674808025663822,10.0,7.0,3.0,1.0,0.9674808025663822,0.07393363057511693,6.0
greedy_single_path::ep17,7,2,greedy_single_path,0,2,2,0,0.0,0.0,0,0,train,1.0,11.0,8.0,4.0,0.0,1.0,0.03251919743361775,7.0
greedy_single_path::ep18,0,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.4662665442970064,4.0,1.0,1.0,7.0,0.4662665442970064,0.03618529444836405,0.0
greedy_single_path::ep18,1,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.4878571718522483,5.0,2.0,1.0,6.0,0.4878571718522483,0.02159062755524188,1.0
greedy_single_path::ep18,2,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.4373801717382283,6.0,3.0,2.0,5.0,0.4373801717382283,-0.05047700011402001,2.0
greedy_single_path::ep18,3,3,greedy_single_path,1,3,3,0,0.0,0.0,0,0,train,0.3420054697995173,7.0,4.0,2.0,4.0,0.3420054697995173,-0.095374701938711,3.0
greedy_single_path::ep18,4,2,greedy_single_path,1,2,2,0,0.0,0.0,0,1,train,0.4264434092885786,4.0,1.0,0.0,3.0,0.4264434092885786,0.0,4.0
greedy_single_path::ep18,5,2,greedy_single_path,1,2,2,0,0.0,0.0,0,1,train,0.4264434092885786,5.0,2.0,0.0,2.0,0.4264434092885786,0.0,5.0
greedy_single_path::ep18,6,2,greedy_single_path,1,2,2,0,0.0,0.0,0,1,train,0.4264434092885786,6.0,3.0,0.0,1.0,0.4264434092885786,0.0,6.0
greedy_single_path::ep18,7,2,greedy_single_path,1,2,2,0,0.0,0.0,0,0,train,0.4264434092885786,7.0,4.0,0.0,0.0,0.4264434092885786,0.0,7.0
greedy_single_path::ep19,0,3,greedy_single_path,1,3,3,0,0.0,0.0,0,1,train,0.8048214000641909,4.0,1.0,0.0,7.0,0.8048214000641909,0.0,0.0
