decision_id,request_t,h_long,tie_set_size,long_min,long_max,long_spread,tied_set_broken,deterministic_choice,deterministic_long_value,deterministic_is_long_best,deterministic_long_regret,learned_choice,learned_choice_in_h4_tie,learned_long_value,learned_is_long_best,learned_long_regret
brightkite_50k|cap=64|t=10037,10037,8,63,5.0,5.0,0.0,no,88184c30ffb62f512dda2e811f3d906d,5.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,5.0,yes,0.0
brightkite_50k|cap=64|t=10037,10037,16,63,11.0,11.0,0.0,no,88184c30ffb62f512dda2e811f3d906d,11.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,11.0,yes,0.0
brightkite_50k|cap=64|t=10037,10037,32,63,16.0,17.0,1.0,yes,88184c30ffb62f512dda2e811f3d906d,16.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,17.0,no,1.0
brightkite_50k|cap=64|t=10038,10038,8,63,4.0,4.0,0.0,no,5709586f6c6152cd70b90acd94873ff6,4.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10038,10038,16,63,11.0,11.0,0.0,no,5709586f6c6152cd70b90acd94873ff6,11.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,11.0,yes,0.0
brightkite_50k|cap=64|t=10038,10038,32,63,15.0,16.0,1.0,yes,5709586f6c6152cd70b90acd94873ff6,15.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,16.0,no,1.0
brightkite_50k|cap=64|t=10039,10039,8,63,4.0,4.0,0.0,no,ee6b8534a22411dd96da6f185082f76e,4.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10039,10039,16,63,10.0,10.0,0.0,no,ee6b8534a22411dd96da6f185082f76e,10.0,yes,0.0,ee6b8534a22411dd96da6f185082f76e,yes,10.0,yes,0.0
brightkite_50k|cap=64|t=10039,10039,32,63,15.0,16.0,1.0,yes,ee6b8534a22411dd96da6f185082f76e,16.0,no,1.0,ee6b8534a22411dd96da6f185082f76e,yes,16.0,no,1.0
brightkite_50k|cap=64|t=10040,10040,8,63,3.0,3.0,0.0,no,00000000000000000000000000000000,3.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,3.0,yes,0.0
brightkite_50k|cap=64|t=10040,10040,16,63,9.0,9.0,0.0,no,00000000000000000000000000000000,9.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,9.0,yes,0.0
brightkite_50k|cap=64|t=10040,10040,32,63,16.0,16.0,0.0,no,00000000000000000000000000000000,16.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,16.0,yes,0.0
brightkite_50k|cap=64|t=10044,10044,8,63,6.0,6.0,0.0,no,aac38da1984257d290fb28afcd5d46dd,6.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10044,10044,16,63,9.0,9.0,0.0,no,aac38da1984257d290fb28afcd5d46dd,9.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10044,10044,32,63,18.0,18.0,0.0,no,aac38da1984257d290fb28afcd5d46dd,18.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10045,10045,8,63,6.0,6.0,0.0,no,c9f1352af2de7ade6f937be8e1c66b38,6.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10045,10045,16,63,9.0,9.0,0.0,no,c9f1352af2de7ade6f937be8e1c66b38,9.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10045,10045,32,63,17.0,17.0,0.0,no,c9f1352af2de7ade6f937be8e1c66b38,17.0,yes,0.0,8fde23d6245c11debf73003048c0801e,no,,,
brightkite_50k|cap=64|t=10047,10047,8,63,6.0,6.0,0.0,no,137e9ef8a48a11dd8755003048c10834,6.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,6.0,yes,0.0
brightkite_50k|cap=64|t=10047,10047,16,63,10.0,10.0,0.0,no,137e9ef8a48a11dd8755003048c10834,10.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,10.0,yes,0.0
brightkite_50k|cap=64|t=10047,10047,32,63,17.0,17.0,0.0,no,137e9ef8a48a11dd8755003048c10834,17.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,17.0,yes,0.0
brightkite_50k|cap=64|t=10049,10049,8,64,6.0,7.0,1.0,yes,8fde23d6245c11debf73003048c0801e,7.0,no,1.0,ff707eda3c145e8ff0407e9d916b455b,yes,6.0,yes,0.0
brightkite_50k|cap=64|t=10049,10049,16,64,9.0,10.0,1.0,yes,8fde23d6245c11debf73003048c0801e,10.0,no,1.0,ff707eda3c145e8ff0407e9d916b455b,yes,9.0,yes,0.0
brightkite_50k|cap=64|t=10049,10049,32,64,16.0,17.0,1.0,yes,8fde23d6245c11debf73003048c0801e,17.0,no,1.0,ff707eda3c145e8ff0407e9d916b455b,yes,16.0,yes,0.0
brightkite_50k|cap=64|t=10050,10050,8,64,6.0,6.0,0.0,no,429264c8801ac80b0c60a145bf4c9f6f,6.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,6.0,yes,0.0
brightkite_50k|cap=64|t=10050,10050,16,64,10.0,10.0,0.0,no,429264c8801ac80b0c60a145bf4c9f6f,10.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,10.0,yes,0.0
brightkite_50k|cap=64|t=10050,10050,32,64,17.0,17.0,0.0,no,429264c8801ac80b0c60a145bf4c9f6f,17.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,17.0,yes,0.0
brightkite_50k|cap=64|t=10051,10051,8,64,5.0,5.0,0.0,no,6868bfcd3ae8f4eb037e69f11c72b2ba,5.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,5.0,yes,0.0
brightkite_50k|cap=64|t=10051,10051,16,64,9.0,9.0,0.0,no,6868bfcd3ae8f4eb037e69f11c72b2ba,9.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,9.0,yes,0.0
brightkite_50k|cap=64|t=10051,10051,32,64,17.0,17.0,0.0,no,6868bfcd3ae8f4eb037e69f11c72b2ba,17.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,17.0,yes,0.0
brightkite_50k|cap=64|t=10052,10052,8,64,4.0,4.0,0.0,no,ba3ae773255b7d4ceff7e9a5af298882,4.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10052,10052,16,64,8.0,8.0,0.0,no,ba3ae773255b7d4ceff7e9a5af298882,8.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,8.0,yes,0.0
brightkite_50k|cap=64|t=10052,10052,32,64,16.0,16.0,0.0,no,ba3ae773255b7d4ceff7e9a5af298882,16.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,16.0,yes,0.0
brightkite_50k|cap=64|t=10053,10053,8,64,4.0,4.0,0.0,no,1ef0e0807ed725fdd136a9c16b0a01f0,4.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10053,10053,16,64,7.0,7.0,0.0,no,1ef0e0807ed725fdd136a9c16b0a01f0,7.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10053,10053,32,64,16.0,16.0,0.0,no,1ef0e0807ed725fdd136a9c16b0a01f0,16.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,16.0,yes,0.0
brightkite_50k|cap=64|t=10054,10054,8,64,4.0,4.0,0.0,no,0762d93b1c1aae09173d7726ccbcf657,4.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10054,10054,16,64,6.0,6.0,0.0,no,0762d93b1c1aae09173d7726ccbcf657,6.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,6.0,yes,0.0
brightkite_50k|cap=64|t=10054,10054,32,64,15.0,15.0,0.0,no,0762d93b1c1aae09173d7726ccbcf657,15.0,yes,0.0,ff707eda3c145e8ff0407e9d916b455b,yes,15.0,yes,0.0
brightkite_50k|cap=64|t=10055,10055,8,64,4.0,4.0,0.0,no,cde4b8f47b9f11ddb1f80030487eb504,4.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,4.0,yes,0.0
brightkite_50k|cap=64|t=10055,10055,16,64,6.0,6.0,0.0,no,cde4b8f47b9f11ddb1f80030487eb504,6.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,6.0,yes,0.0
brightkite_50k|cap=64|t=10055,10055,32,64,14.0,14.0,0.0,no,cde4b8f47b9f11ddb1f80030487eb504,14.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,14.0,yes,0.0
brightkite_50k|cap=64|t=10057,10057,8,63,3.0,3.0,0.0,no,f298cc32efb7c64ab157c6292e058f0e,3.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,3.0,yes,0.0
brightkite_50k|cap=64|t=10057,10057,16,63,7.0,7.0,0.0,no,f298cc32efb7c64ab157c6292e058f0e,7.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10057,10057,32,63,14.0,14.0,0.0,no,f298cc32efb7c64ab157c6292e058f0e,14.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,14.0,yes,0.0
brightkite_50k|cap=64|t=10061,10061,8,63,3.0,3.0,0.0,no,0a744850210b380f350f4347f4e546b2,3.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,3.0,yes,0.0
brightkite_50k|cap=64|t=10061,10061,16,63,8.0,8.0,0.0,no,0a744850210b380f350f4347f4e546b2,8.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,8.0,yes,0.0
brightkite_50k|cap=64|t=10061,10061,32,63,13.0,13.0,0.0,no,0a744850210b380f350f4347f4e546b2,13.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,13.0,yes,0.0
brightkite_50k|cap=64|t=10062,10062,8,63,2.0,2.0,0.0,no,ee6b8534a22411dd96da6f185082f76e,2.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,2.0,yes,0.0
brightkite_50k|cap=64|t=10062,10062,16,63,7.0,7.0,0.0,no,ee6b8534a22411dd96da6f185082f76e,7.0,yes,0.0,fdbe620683a011ddb367003048c0801e,yes,7.0,yes,0.0
brightkite_50k|cap=64|t=10062,10062,32,63,12.0,13.0,1.0,yes,ee6b8534a22411dd96da6f185082f76e,13.0,no,1.0,fdbe620683a011ddb367003048c0801e,yes,12.0,yes,0.0
